Co, Fe, Zr, is_glass
16.769,11.993,71.238,0.500
16.334,11.071,72.595,0.500
15.887,10.219,73.894,0.500
15.428,9.430,75.142,0.500
14.963,8.702,76.335,0.500
20.370,40.907,38.723,1.000
20.667,38.671,40.662,1.000
20.911,36.477,42.612,1.000
21.101,34.333,44.567,1.000
21.234,32.253,46.513,1.000
21.311,30.238,48.451,1.000
21.332,28.302,50.366,1.000
21.298,26.445,52.257,1.000
21.211,24.668,54.121,1.000
21.074,22.980,55.946,0.500
20.888,21.377,57.735,0.500
20.657,19.865,59.478,0.500
20.384,18.440,61.176,0.500
20.073,17.099,62.828,0.500
19.727,15.845,64.428,0.500
19.350,14.670,65.980,0.500
18.946,13.577,67.478,0.500
18.518,12.558,68.924,0.500
18.069,11.611,70.321,0.500
17.604,10.733,71.664,0.500
17.124,9.918,72.958,0.500
16.634,9.165,74.201,0.500
21.769,41.554,36.677,1.000
22.120,39.341,38.539,1.000
22.417,37.166,40.417,1.000
22.658,35.035,42.307,1.000
22.840,32.965,44.195,1.000
22.964,30.955,46.081,1.000
23.028,29.018,47.953,1.000
23.035,27.158,49.808,1.000
22.984,25.374,51.642,1.000
22.878,23.676,53.446,1.000
22.719,22.061,55.221,0.500
22.510,20.533,56.957,0.500
22.255,19.091,58.654,0.500
21.956,17.731,60.313,0.500
21.618,16.457,61.925,0.500
21.244,15.261,63.495,0.500
20.838,14.145,65.017,0.500
20.404,13.105,66.492,0.500
19.944,12.134,67.922,0.500
19.464,11.233,69.303,0.500
18.966,10.396,70.639,0.500
18.454,9.621,71.926,0.500
23.231,42.100,34.668,1.000
23.639,39.913,36.448,1.000
23.991,37.759,38.249,1.000
24.287,35.646,40.067,1.000
24.522,33.588,41.890,1.000
24.697,31.587,43.717,1.000
24.809,29.656,45.536,1.000
24.859,27.797,47.344,1.000
24.849,26.011,49.140,1.000
24.779,24.308,50.912,1.000
24.652,22.685,52.663,1.000
24.471,21.148,54.381,0.500
24.238,19.693,56.068,0.500
23.957,18.319,57.723,0.500
23.632,17.029,59.339,0.500
23.265,15.817,60.918,0.500
22.862,14.683,62.455,0.500
22.426,13.624,63.950,0.500
21.960,12.635,65.405,0.500
21.469,11.715,66.816,0.500
20.955,10.858,68.187,0.500
20.424,10.064,69.512,0.500
24.753,42.544,32.703,1.000
25.220,40.383,34.397,1.000
25.631,38.253,36.116,1.000
25.985,36.159,37.857,1.000
26.276,34.117,39.607,1.000
