Co, V, Zr, is_glass
43.100,20.900,35.900,1.000
42.300,20.200,37.500,1.000
41.500,19.500,39.100,1.000
40.600,18.800,40.700,1.000
39.600,18.000,42.300,1.000
52.800,32.600,14.600,0.500
52.800,31.800,15.300,0.500
52.800,31.100,16.100,0.500
52.800,30.300,16.900,0.500
52.700,29.600,17.700,0.500
52.600,28.800,18.600,0.500
52.400,28.100,19.500,0.500
52.100,27.400,20.500,0.500
51.800,26.700,21.500,1.000
51.500,25.900,22.600,1.000
51.100,25.200,23.700,1.000
50.700,24.500,24.800,1.000
50.200,23.800,26.000,1.000
49.600,23.200,27.200,1.000
49.000,22.500,28.500,1.000
48.400,21.800,29.800,1.000
47.700,21.100,31.200,1.000
46.900,20.400,32.600,1.000
46.100,19.800,34.100,1.000
45.300,19.100,35.600,1.000
44.400,18.500,37.100,1.000
43.500,17.800,38.700,1.000
42.500,17.200,40.300,1.000
56.000,30.200,13.800,0.500
56.000,29.500,14.500,0.500
56.000,28.800,15.200,0.500
56.000,28.100,15.900,0.500
55.800,27.400,16.700,0.500
55.700,26.800,17.500,0.500
55.500,26.100,18.400,0.500
55.200,25.400,19.300,0.500
54.900,24.800,20.300,0.500
54.600,24.200,21.200,1.000
54.200,23.500,22.300,1.000
53.700,22.900,23.400,1.000
53.200,22.300,24.500,1.000
52.700,21.600,25.700,1.000
52.100,21.000,26.900,1.000
51.400,20.400,28.100,1.000
50.700,19.800,29.400,1.000
50.000,19.200,30.800,1.000
49.200,18.600,32.200,1.000
48.300,18.000,33.600,1.000
47.400,17.400,35.100,1.000
46.500,16.800,36.700,1.000
45.500,16.300,38.200,1.000
59.200,27.900,13.000,0.500
59.200,27.200,13.600,0.500
59.100,26.600,14.300,0.500
59.100,26.000,15.000,0.500
59.000,25.300,15.700,0.500
58.800,24.700,16.500,0.500
58.600,24.100,17.300,0.500
58.300,23.500,18.100,0.500
58.000,23.000,19.000,0.500
57.700,22.400,19.900,0.500
57.300,21.800,20.900,0.500
56.800,21.300,21.900,1.000
56.300,20.700,23.000,1.000
55.800,20.200,24.100,1.000
55.200,19.600,25.200,1.000
54.500,19.100,26.400,1.000
53.800,18.500,27.700,1.000
53.100,18.000,29.000,1.000
52.200,17.500,30.300,1.000
51.400,16.900,31.700,1.000
50.500,16.400,33.100,1.000
49.500,15.900,34.600,1.000
48.500,15.400,36.100,1.000
62.200,25.600,12.200,0.500
62.300,25.000,12.700,0.500
62.200,24.400,13.400,0.500
62.100,23.900,14.000,0.500
62.000,23.300,14.700,0.500
61.900,22.800,15.400,0.500
61.700,22.200,16.100,0.500
61.400,21.700,16.900,0.500
61.100,21.200,17.700,0.500
60.700,20.700,18.600,0.500
60.300,20.200,19.500,0.500
59.900,19.700,20.500,0.500
59.400,19.200,21.400,0.500
58.800,18.700,22.500,1.000
58.200,18.200,23.600,1.000
57.600,17.700,24.700,1.000
56.900,17.200,25.900,1.000
56.100,16.800,27.100,1.000
55.300,16.300,28.400,1.000
54.500,15.800,29.700,1.000
53.600,15.400,31.100,1.000
52.600,14.900,32.500,1.000
51.600,14.500,33.900,1.000
65.300,23.400,11.300,0.500
65.300,22.900,11.900,0.500
65.200,22.300,12.400,0.500
65.100,21.800,13.000,0.500
65.000,21.300,13.600,0.500
64.800,20.900,14.300,0.500
64.600,20.400,15.000,0.500
64.400,19.900,15.700,0.500
64.100,19.500,16.500,0.500
63.700,19.000,17.300,0.500
63.300,18.600,18.100,0.500
62.900,18.100,19.000,0.500
62.400,17.700,19.900,0.500
61.800,17.300,20.900,0.500
61.200,16.800,21.900,0.500
60.600,16.400,23.000,1.000
59.900,16.000,24.100,1.000
59.200,15.600,25.300,1.000
58.400,15.200,26.500,1.000
57.500,14.800,27.700,1.000
56.600,14.400,29.000,1.000
55.700,14.000,30.400,1.000
54.700,13.600,31.800,1.000
68.200,20.800,11.000,0.500
68.100,20.400,11.500,0.500
68.000,19.900,12.100,0.500
67.900,19.500,12.600,0.500
67.700,19.000,13.200,0.500
67.500,18.600,13.900,0.500
67.200,18.200,14.500,0.500
66.900,17.800,15.300,0.500
66.600,17.400,16.000,0.500
66.200,17.000,16.800,0.500
65.800,16.600,17.600,0.500
65.300,16.200,18.500,0.500
64.800,15.900,19.400,0.500
64.200,15.500,20.300,0.500
63.600,15.100,21.300,0.500
62.900,14.800,22.400,1.000
62.100,14.400,23.400,1.000
61.400,14.100,24.600,1.000
60.500,13.700,25.800,1.000
59.600,13.400,27.000,1.000
58.700,13.000,28.300,1.000
70.900,18.900,10.200,0.500
70.900,18.500,10.600,0.500
70.800,18.100,11.100,0.500
70.600,17.700,11.700,0.500
70.500,17.300,12.200,0.500
70.300,16.900,12.800,0.500
70.000,16.600,13.400,0.500
69.700,16.200,14.100,0.500
69.400,15.900,14.700,0.500
69.000,15.500,15.500,0.500
68.600,15.200,16.200,0.500
68.100,14.900,17.000,0.500
67.600,14.500,17.900,0.500
67.000,14.200,18.700,0.500
66.400,13.900,19.700,0.500
65.800,13.600,20.600,0.500
65.000,13.300,21.700,0.500
64.300,13.000,22.700,1.000
63.500,12.700,23.800,1.000
62.600,12.400,25.000,1.000
61.700,12.100,26.200,1.000
73.500,16.700,9.800,0.500
73.400,16.300,10.200,0.500
73.300,16.000,10.700,0.500
73.100,15.700,11.200,0.500
72.900,15.400,11.800,0.500
72.600,15.000,12.300,0.500
72.400,14.700,12.900,0.500
72.000,14.400,13.500,0.500
71.700,14.100,14.200,0.500
71.300,13.800,14.900,0.500
70.800,13.600,15.600,0.500
70.300,13.300,16.400,0.500
69.800,13.000,17.200,0.500
69.200,12.700,18.100,0.500
68.500,12.500,19.000,0.500
67.900,12.200,19.900,0.500
67.100,11.900,20.900,0.500
66.300,11.700,22.000,0.500
65.500,11.400,23.100,0.500
75.900,14.700,9.380,0.500
75.700,14.400,9.820,0.500
75.600,14.100,10.300,0.500
75.400,13.900,10.800,0.500
75.100,13.600,11.300,0.500
74.900,13.300,11.800,0.500
74.500,13.100,12.400,0.500
74.200,12.800,13.000,0.500
73.800,12.600,13.600,0.500
73.400,12.300,14.300,0.500
72.900,12.100,15.000,0.500
72.400,11.800,15.800,0.500
71.800,11.600,16.600,0.500
71.200,11.400,17.400,0.500
70.600,11.200,18.300,0.500
69.900,10.900,19.200,0.500
69.100,10.700,20.200,0.500
78.100,13.000,8.960,0.500
77.900,12.700,9.370,0.500
77.700,12.500,9.810,0.500
77.500,12.300,10.300,0.500
77.200,12.000,10.800,0.500
76.900,11.800,11.300,0.500
76.600,11.600,11.800,0.500
76.200,11.400,12.400,0.500
75.800,11.200,13.000,0.500
75.300,11.000,13.700,0.500
74.900,10.800,14.400,0.500
74.300,10.600,15.100,0.500
73.700,10.400,15.900,0.500
73.100,10.200,16.700,0.500
72.500,10.000,17.500,0.500
80.100,11.400,8.520,0.500
79.900,11.200,8.920,0.500
79.700,11.000,9.340,0.500
79.400,10.800,9.780,0.500
79.100,10.600,10.300,0.500
78.800,10.400,10.800,0.500
78.500,10.300,11.300,0.500
78.100,10.100,11.800,0.500
77.600,9.910,12.400,0.500
77.200,9.740,13.100,0.500
76.700,9.580,13.700,0.500
76.100,9.420,14.400,0.500
75.600,9.260,15.200,0.500
81.700,9.860,8.460,0.500
81.400,9.700,8.860,0.500
81.200,9.530,9.290,0.500
80.900,9.380,9.740,0.500
80.600,9.220,10.200,0.500
80.200,9.080,10.700,0.500
79.800,8.930,11.300,0.500
79.400,8.790,11.800,0.500
78.900,8.650,12.500,0.500
8.330,25.353,66.317,0.500
8.540,32.246,59.215,0.500
8.733,30.527,60.740,0.500
8.920,28.866,62.214,0.500
9.100,27.262,63.638,0.500
9.273,25.723,65.004,0.500
9.439,24.248,66.314,0.500
9.597,22.835,67.567,0.500
9.748,21.491,68.761,0.500
9.891,20.211,69.898,0.500
9.008,36.178,54.814,0.500
9.241,34.361,56.397,0.500
9.469,32.591,57.940,0.500
9.691,30.869,59.440,0.500
9.906,29.205,60.889,0.500
10.114,27.598,62.288,0.500
10.313,26.055,63.632,0.500
10.505,24.576,64.919,0.500
10.689,23.159,66.152,0.500
10.863,21.811,67.326,0.500
11.030,20.526,68.444,0.500
11.188,19.309,69.503,0.500
11.337,18.156,70.507,0.500
9.689,38.338,51.972,0.500
9.963,36.475,53.562,0.500
