composition gfa{AM,CR} processing{meltspin,sputtering}
Co39.600000V34.100000Zr26.200000 AM sputtering
Co39.400000V33.100000Zr27.500000 AM sputtering
Co39.000000V32.100000Zr28.900000 AM sputtering
Co38.600000V31.100000Zr30.200000 AM sputtering
Co38.200000V30.200000Zr31.700000 AM sputtering
Co37.700000V29.200000Zr33.100000 AM sputtering
Co37.200000V28.200000Zr34.600000 AM sputtering
Co36.600000V27.200000Zr36.200000 AM sputtering
Co36.000000V26.200000Zr37.800000 AM sputtering
Co35.400000V25.300000Zr39.400000 AM sputtering
Co34.700000V24.300000Zr41.000000 AM sputtering
Co33.900000V23.400000Zr42.700000 AM sputtering
Co33.200000V22.400000Zr44.400000 AM sputtering
Co32.400000V21.500000Zr46.100000 AM sputtering
Co31.600000V20.600000Zr47.900000 AM sputtering
Co43.400000V38.900000Zr17.700000 CR sputtering
Co43.400000V37.900000Zr18.600000 CR sputtering
Co43.400000V37.000000Zr19.600000 CR sputtering
Co43.400000V36.000000Zr20.600000 CR sputtering
Co43.200000V35.100000Zr21.700000 AM sputtering
Co43.100000V34.100000Zr22.800000 AM sputtering
Co42.900000V33.200000Zr23.900000 AM sputtering
Co42.600000V32.300000Zr25.100000 AM sputtering
Co42.300000V31.400000Zr26.300000 AM sputtering
Co41.900000V30.400000Zr27.600000 AM sputtering
Co41.500000V29.500000Zr29.000000 AM sputtering
Co41.100000V28.600000Zr30.300000 AM sputtering
Co40.600000V27.700000Zr31.700000 AM sputtering
Co40.000000V26.800000Zr33.200000 AM sputtering
Co39.400000V25.900000Zr34.700000 AM sputtering
Co38.800000V25.000000Zr36.200000 AM sputtering
Co38.100000V24.100000Zr37.800000 AM sputtering
Co37.400000V23.200000Zr39.400000 AM sputtering
Co36.600000V22.300000Zr41.000000 AM sputtering
Co35.800000V21.500000Zr42.700000 AM sputtering
Co35.000000V20.600000Zr44.400000 AM sputtering
Co34.100000V19.800000Zr46.100000 AM sputtering
Co46.500000V36.500000Zr17.000000 CR sputtering
Co46.500000V35.600000Zr17.800000 CR sputtering
Co46.500000V34.800000Zr18.700000 CR sputtering
Co46.400000V33.900000Zr19.700000 CR sputtering
