composition gfa{AM,CR} processing{meltspin,sputtering}
Co13.854000V40.747000Zr45.399000 CR sputtering
Co14.307000V38.852000Zr46.842000 CR sputtering
Co14.753000V36.994000Zr48.254000 CR sputtering
Co15.190000V35.183000Zr49.627000 CR sputtering
Co15.617000V33.423000Zr50.960000 CR sputtering
Co16.035000V31.713000Zr52.252000 CR sputtering
Co16.442000V30.062000Zr53.496000 CR sputtering
Co16.837000V28.468000Zr54.695000 CR sputtering
Co17.220000V26.938000Zr55.842000 CR sputtering
Co17.591000V25.471000Zr56.939000 CR sputtering
Co17.949000V24.065000Zr57.986000 CR sputtering
Co18.293000V22.726000Zr58.981000 CR sputtering
Co18.625000V21.449000Zr59.926000 CR sputtering
Co18.944000V20.237000Zr60.819000 CR sputtering
Co19.249000V19.088000Zr61.663000 CR sputtering
Co19.543000V17.998000Zr62.459000 CR sputtering
Co19.823000V16.970000Zr63.207000 CR sputtering
Co20.092000V15.998000Zr63.911000 CR sputtering
Co20.348000V15.083000Zr64.569000 CR sputtering
Co14.188000V44.559000Zr41.254000 AM sputtering
Co14.705000V42.600000Zr42.694000 CR sputtering
Co15.219000V40.669000Zr44.112000 CR sputtering
Co15.724000V38.778000Zr45.498000 CR sputtering
Co16.222000V36.926000Zr46.852000 CR sputtering
Co16.711000V35.122000Zr48.167000 CR sputtering
Co17.189000V33.369000Zr49.442000 CR sputtering
Co17.657000V31.667000Zr50.677000 CR sputtering
Co18.112000V30.025000Zr51.864000 CR sputtering
Co18.555000V28.439000Zr53.006000 CR sputtering
Co18.984000V26.918000Zr54.098000 CR sputtering
Co19.400000V25.460000Zr55.140000 CR sputtering
Co19.802000V24.063000Zr56.135000 CR sputtering
Co20.190000V22.733000Zr57.078000 CR sputtering
Co20.564000V21.463000Zr57.973000 CR sputtering
Co20.923000V20.260000Zr58.817000 CR sputtering
Co21.269000V19.118000Zr59.613000 CR sputtering
Co21.601000V18.035000Zr60.364000 CR sputtering
Co21.920000V17.013000Zr61.068000 CR sputtering
Co22.225000V16.047000Zr61.728000 CR sputtering
Co22.518000V15.137000Zr62.345000 CR sputtering
Co15.550000V44.382000Zr40.068000 AM sputtering
Co16.126000V42.426000Zr41.448000 AM sputtering
Co16.696000V40.499000Zr42.805000 CR sputtering
Co17.257000V38.614000Zr44.129000 CR sputtering
Co17.811000V36.768000Zr45.420000 CR sputtering
Co18.354000V34.973000Zr46.673000 CR sputtering
Co18.886000V33.229000Zr47.885000 CR sputtering
Co19.406000V31.537000Zr49.057000 CR sputtering
Co19.913000V29.906000Zr50.182000 CR sputtering
Co20.406000V28.332000Zr51.262000 CR sputtering
Co20.885000V26.822000Zr52.294000 CR sputtering
Co21.348000V25.375000Zr53.277000 CR sputtering
Co21.797000V23.989000Zr54.214000 CR sputtering
Co22.231000V22.669000Zr55.100000 CR sputtering
Co22.649000V21.411000Zr55.940000 CR sputtering
Co23.052000V20.217000Zr56.731000 CR sputtering
Co23.440000V19.085000Zr57.476000 CR sputtering
Co23.813000V18.011000Zr58.176000 CR sputtering
Co24.172000V16.997000Zr58.831000 CR sputtering
Co24.517000V16.039000Zr59.444000 CR sputtering
Co24.848000V15.137000Zr60.016000 CR sputtering
Co17.024000V44.105000Zr38.871000 AM sputtering
Co17.660000V42.153000Zr40.187000 AM sputtering
Co18.290000V40.232000Zr41.478000 AM sputtering
Co18.911000V38.354000Zr42.735000 CR sputtering
Co19.523000V36.517000Zr43.960000 CR sputtering
Co20.123000V34.733000Zr45.144000 CR sputtering
Co20.711000V33.000000Zr46.289000 CR sputtering
Co21.286000V31.320000Zr47.393000 CR sputtering
Co21.847000V29.702000Zr48.452000 CR sputtering
Co22.393000V28.141000Zr49.466000 CR sputtering
Co22.923000V26.644000Zr50.433000 CR sputtering
Co23.436000V25.211000Zr51.353000 CR sputtering
Co23.934000V23.839000Zr52.227000 CR sputtering
Co24.415000V22.532000Zr53.053000 CR sputtering
Co24.880000V21.286000Zr53.834000 CR sputtering
Co25.328000V20.105000Zr54.567000 CR sputtering
Co25.759000V18.985000Zr55.256000 CR sputtering
Co26.176000V17.922000Zr55.902000 CR sputtering
Co26.576000V16.919000Zr56.505000 CR sputtering
Co26.961000V15.971000Zr57.068000 CR sputtering
Co27.332000V15.078000Zr57.590000 CR sputtering
Co18.613000V43.725000Zr37.663000 AM sputtering
Co19.312000V41.778000Zr38.910000 AM sputtering
Co20.005000V39.864000Zr40.131000 AM sputtering
Co20.688000V37.995000Zr41.317000 AM sputtering
Co21.361000V36.170000Zr42.470000 AM sputtering
Co22.020000V34.397000Zr43.583000 CR sputtering
Co22.666000V32.678000Zr44.656000 CR sputtering
Co23.299000V31.012000Zr45.689000 CR sputtering
Co23.915000V29.409000Zr46.676000 CR sputtering
Co24.515000V27.864000Zr47.621000 CR sputtering
Co25.098000V26.383000Zr48.519000 CR sputtering
Co25.663000V24.966000Zr49.372000 CR sputtering
Co26.211000V23.609000Zr50.180000 CR sputtering
Co26.740000V22.318000Zr50.942000 CR sputtering
Co27.253000V21.088000Zr51.659000 CR sputtering
Co27.746000V19.921000Zr52.332000 CR sputtering
Co28.223000V18.815000Zr52.962000 CR sputtering
Co28.683000V17.767000Zr53.551000 CR sputtering
Co29.126000V16.777000Zr54.098000 CR sputtering
Co29.553000V15.841000Zr54.606000 CR sputtering
Co29.964000V14.960000Zr55.076000 CR sputtering
Co20.321000V43.237000Zr36.442000 AM sputtering
Co21.086000V41.297000Zr37.617000 AM sputtering
Co21.844000V39.393000Zr38.763000 AM sputtering
Co22.590000V37.535000Zr39.875000 AM sputtering
Co23.325000V35.722000Zr40.952000 AM sputtering
Co24.046000V33.964000Zr41.990000 AM sputtering
Co24.752000V32.261000Zr42.988000 AM sputtering
Co25.442000V30.612000Zr43.946000 AM sputtering
Co26.115000V29.026000Zr44.859000 AM sputtering
Co26.770000V27.499000Zr45.731000 AM sputtering
Co27.406000V26.037000Zr46.557000 AM sputtering
Co28.023000V24.638000Zr47.339000 CR sputtering
Co28.622000V23.300000Zr48.079000 CR sputtering
Co29.200000V22.027000Zr48.773000 CR sputtering
Co29.760000V20.814000Zr49.425000 CR sputtering
Co30.300000V19.665000Zr50.035000 CR sputtering
Co30.822000V18.576000Zr50.602000 CR sputtering
Co31.326000V17.543000Zr51.131000 CR sputtering
Co31.811000V16.569000Zr51.620000 CR sputtering
Co32.280000V15.647000Zr52.073000 CR sputtering
Co32.731000V14.780000Zr52.489000 CR sputtering
Co22.150000V42.641000Zr35.208000 AM sputtering
Co22.983000V40.710000Zr36.307000 AM sputtering
Co23.807000V38.817000Zr37.376000 AM sputtering
Co24.618000V36.972000Zr38.410000 AM sputtering
Co25.417000V35.175000Zr39.409000 AM sputtering
Co26.199000V33.433000Zr40.368000 AM sputtering
Co26.965000V31.748000Zr41.288000 AM sputtering
Co27.714000V30.118000Zr42.168000 AM sputtering
Co28.443000V28.552000Zr43.005000 AM sputtering
Co29.153000V27.045000Zr43.801000 AM sputtering
Co29.842000V25.604000Zr44.553000 AM sputtering
Co30.511000V24.226000Zr45.263000 AM sputtering
Co31.160000V22.909000Zr45.931000 AM sputtering
Co31.786000V21.657000Zr46.556000 AM sputtering
Co32.394000V20.465000Zr47.141000 AM sputtering
Co32.979000V19.336000Zr47.685000 AM sputtering
Co33.545000V18.266000Zr48.190000 AM sputtering
Co34.091000V17.252000Zr48.657000 AM sputtering
Co34.618000V16.295000Zr49.087000 CR sputtering
Co35.128000V15.391000Zr49.482000 CR sputtering
Co35.619000V14.540000Zr49.842000 CR sputtering
Co24.103000V41.936000Zr33.961000 AM sputtering
Co25.004000V40.016000Zr34.981000 AM sputtering
Co25.894000V38.136000Zr35.970000 AM sputtering
Co26.770000V36.307000Zr36.923000 AM sputtering
Co27.632000V34.526000Zr37.841000 AM sputtering
Co28.476000V32.804000Zr38.720000 AM sputtering
Co29.301000V31.139000Zr39.560000 AM sputtering
Co30.108000V29.531000Zr40.361000 AM sputtering
Co30.892000V27.988000Zr41.120000 AM sputtering
Co31.657000V26.505000Zr41.838000 AM sputtering
Co32.398000V25.087000Zr42.515000 AM sputtering
Co33.117000V23.733000Zr43.151000 AM sputtering
Co33.814000V22.440000Zr43.747000 AM sputtering
Co34.487000V21.211000Zr44.302000 AM sputtering
Co35.140000V20.042000Zr44.819000 AM sputtering
Co35.769000V18.935000Zr45.296000 AM sputtering
Co36.376000V17.887000Zr45.737000 AM sputtering
Co36.964000V16.894000Zr46.142000 AM sputtering
Co37.531000V15.957000Zr46.512000 AM sputtering
Co38.079000V15.072000Zr46.849000 AM sputtering
Co38.608000V14.239000Zr47.153000 AM sputtering
Co26.178000V41.122000Zr32.700000 AM sputtering
Co27.146000V39.215000Zr33.639000 AM sputtering
Co28.103000V37.351000Zr34.546000 AM sputtering
Co29.043000V35.540000Zr35.417000 AM sputtering
Co29.967000V33.779000Zr36.253000 AM sputtering
Co30.871000V32.079000Zr37.050000 AM sputtering
Co31.754000V30.437000Zr37.809000 AM sputtering
Co32.616000V28.854000Zr38.529000 AM sputtering
Co33.455000V27.336000Zr39.209000 AM sputtering
Co34.271000V25.879000Zr39.851000 AM sputtering
Co35.061000V24.488000Zr40.451000 AM sputtering
Co35.827000V23.160000Zr41.013000 AM sputtering
Co36.570000V21.893000Zr41.537000 AM sputtering
Co37.288000V20.691000Zr42.022000 AM sputtering
Co37.982000V19.547000Zr42.470000 AM sputtering
Co38.652000V18.466000Zr42.882000 AM sputtering
Co39.299000V17.442000Zr43.259000 AM sputtering
Co39.925000V16.472000Zr43.603000 AM sputtering
Co40.528000V15.558000Zr43.914000 AM sputtering
Co41.112000V14.695000Zr44.193000 AM sputtering
Co41.675000V13.882000Zr44.442000 AM sputtering
Co28.374000V40.200000Zr31.426000 AM sputtering
Co29.409000V38.309000Zr32.282000 AM sputtering
Co30.430000V36.463000Zr33.107000 AM sputtering
Co31.432000V34.673000Zr33.895000 AM sputtering
Co32.416000V32.936000Zr34.648000 AM sputtering
Co33.377000V31.260000Zr35.363000 AM sputtering
Co34.315000V29.645000Zr36.040000 AM sputtering
Co35.230000V28.090000Zr36.680000 AM sputtering
Co36.119000V26.600000Zr37.281000 AM sputtering
Co36.983000V25.172000Zr37.845000 AM sputtering
Co37.819000V23.810000Zr38.371000 AM sputtering
Co38.629000V22.512000Zr38.859000 AM sputtering
Co39.414000V21.275000Zr39.312000 AM sputtering
Co40.171000V20.101000Zr39.728000 AM sputtering
Co40.904000V18.986000Zr40.110000 AM sputtering
Co41.611000V17.932000Zr40.457000 AM sputtering
Co42.293000V16.935000Zr40.772000 AM sputtering
Co42.953000V15.991000Zr41.056000 AM sputtering
Co43.589000V15.102000Zr41.309000 AM sputtering
Co44.205000V14.262000Zr41.533000 AM sputtering
Co44.799000V13.472000Zr41.728000 AM sputtering
Co30.686000V39.175000Zr30.139000 AM sputtering
Co31.785000V37.302000Zr30.913000 AM sputtering
Co32.868000V35.478000Zr31.654000 AM sputtering
Co33.929000V33.712000Zr32.359000 AM sputtering
Co34.969000V32.001000Zr33.030000 AM sputtering
Co35.984000V30.354000Zr33.663000 AM sputtering
Co36.972000V28.768000Zr34.260000 AM sputtering
Co37.936000V27.243000Zr34.821000 AM sputtering
Co38.870000V25.785000Zr35.344000 AM sputtering
Co39.778000V24.389000Zr35.833000 AM sputtering
Co40.655000V23.060000Zr36.285000 AM sputtering
Co41.504000V21.794000Zr36.701000 AM sputtering
Co42.326000V20.589000Zr37.085000 AM sputtering
Co43.118000V19.447000Zr37.434000 AM sputtering
Co43.885000V18.363000Zr37.752000 AM sputtering
Co44.623000V17.339000Zr38.038000 AM sputtering
Co45.336000V16.371000Zr38.293000 AM sputtering
Co46.025000V15.456000Zr38.519000 AM sputtering
Co46.689000V14.594000Zr38.717000 AM sputtering
Co47.332000V13.780000Zr38.888000 AM sputtering
Co47.952000V13.015000Zr39.033000 AM sputtering
Co33.109000V38.050000Zr28.841000 AM sputtering
Co34.268000V36.199000Zr29.533000 AM sputtering
Co35.408000V34.400000Zr30.192000 AM sputtering
Co36.524000V32.662000Zr30.815000 AM sputtering
Co37.616000V30.981000Zr31.404000 AM sputtering
Co38.679000V29.364000Zr31.957000 AM sputtering
Co39.713000V27.812000Zr32.475000 AM sputtering
Co40.719000V26.322000Zr32.959000 AM sputtering
Co41.694000V24.898000Zr33.408000 AM sputtering
Co42.639000V23.538000Zr33.823000 AM sputtering
Co43.552000V22.244000Zr34.204000 AM sputtering
Co44.434000V21.014000Zr34.552000 AM sputtering
Co45.286000V19.844000Zr34.870000 AM sputtering
Co46.108000V18.736000Zr35.156000 AM sputtering
Co46.901000V17.686000Zr35.412000 AM sputtering
Co47.666000V16.695000Zr35.639000 AM sputtering
Co48.403000V15.759000Zr35.839000 AM sputtering
Co49.115000V14.874000Zr36.011000 AM sputtering
Co49.802000V14.041000Zr36.157000 AM sputtering
Co50.466000V13.255000Zr36.279000 AM sputtering
Co51.107000V12.517000Zr36.376000 AM sputtering
Co36.847000V35.007000Zr28.146000 AM sputtering
Co38.039000V33.237000Zr28.724000 AM sputtering
Co39.203000V31.530000Zr29.267000 AM sputtering
Co40.341000V29.882000Zr29.777000 AM sputtering
Co41.446000V28.301000Zr30.253000 AM sputtering
Co42.520000V26.785000Zr30.695000 AM sputtering
Co43.563000V25.333000Zr31.104000 AM sputtering
Co44.571000V23.948000Zr31.481000 AM sputtering
Co45.547000V22.626000Zr31.827000 AM sputtering
Co46.488000V21.371000Zr32.141000 AM sputtering
Co47.396000V20.179000Zr32.425000 AM sputtering
Co48.273000V19.047000Zr32.680000 AM sputtering
Co49.116000V17.977000Zr32.907000 AM sputtering
Co49.930000V16.963000Zr33.106000 AM sputtering
Co50.713000V16.007000Zr33.279000 AM sputtering
Co51.469000V15.105000Zr33.426000 AM sputtering
Co52.198000V14.253000Zr33.550000 AM sputtering
Co52.900000V13.451000Zr33.649000 AM sputtering
Co53.580000V12.695000Zr33.725000 AM sputtering
Co40.749000V31.996000Zr27.255000 AM sputtering
Co41.955000V30.324000Zr27.720000 AM sputtering
Co43.131000V28.714000Zr28.155000 AM sputtering
Co44.272000V27.172000Zr28.556000 AM sputtering
Co45.377000V25.697000Zr28.926000 AM sputtering
Co46.449000V24.286000Zr29.265000 AM sputtering
Co47.483000V22.943000Zr29.574000 AM sputtering
Co48.482000V21.663000Zr29.855000 AM sputtering
Co49.444000V20.450000Zr30.106000 AM sputtering
Co50.370000V19.300000Zr30.330000 AM sputtering
Co51.263000V18.208000Zr30.528000 AM sputtering
Co52.122000V17.178000Zr30.700000 AM sputtering
Co52.949000V16.203000Zr30.848000 AM sputtering
Co53.744000V15.284000Zr30.972000 AM sputtering
Co54.510000V14.418000Zr31.072000 AM sputtering
Co55.250000V13.600000Zr31.150000 AM sputtering
Co55.961000V12.831000Zr31.207000 AM sputtering
Co44.763000V29.055000Zr26.182000 AM sputtering
Co45.969000V27.487000Zr26.544000 AM sputtering
Co47.136000V25.988000Zr26.875000 AM sputtering
Co48.265000V24.557000Zr27.178000 AM sputtering
Co49.358000V23.191000Zr27.452000 AM sputtering
Co50.409000V21.893000Zr27.698000 AM sputtering
Co51.423000V20.659000Zr27.918000 AM sputtering
Co52.397000V19.491000Zr28.112000 AM sputtering
Co53.334000V18.384000Zr28.282000 AM sputtering
Co54.236000V17.336000Zr28.428000 AM sputtering
Co55.101000V16.348000Zr28.551000 AM sputtering
Co55.934000V15.414000Zr28.652000 AM sputtering
Co56.734000V14.535000Zr28.731000 AM sputtering
Co57.503000V13.706000Zr28.791000 AM sputtering
Co58.245000V12.925000Zr28.830000 AM sputtering
Co48.836000V26.211000Zr24.953000 AM sputtering
Co50.021000V24.760000Zr25.219000 AM sputtering
Co51.165000V23.377000Zr25.458000 AM sputtering
Co52.269000V22.059000Zr25.672000 AM sputtering
Co53.329000V20.810000Zr25.861000 AM sputtering
Co54.349000V19.624000Zr26.027000 AM sputtering
Co55.328000V18.503000Zr26.169000 AM sputtering
Co56.266000V17.444000Zr26.290000 AM sputtering
Co57.169000V16.442000Zr26.390000 AM sputtering
Co58.033000V15.498000Zr26.470000 AM sputtering
Co58.863000V14.607000Zr26.530000 AM sputtering
Co59.660000V13.769000Zr26.572000 AM sputtering
Co60.425000V12.980000Zr26.595000 AM sputtering
Co54.056000V22.168000Zr23.777000 AM sputtering
Co55.162000V20.902000Zr23.937000 AM sputtering
Co56.222000V19.704000Zr24.074000 AM sputtering
Co57.240000V18.569000Zr24.191000 AM sputtering
Co58.213000V17.499000Zr24.288000 AM sputtering
Co59.146000V16.488000Zr24.366000 AM sputtering
Co60.040000V15.534000Zr24.426000 AM sputtering
Co60.895000V14.637000Zr24.469000 AM sputtering
Co61.715000V13.790000Zr24.494000 AM sputtering
Co7.460000V75.300000Zr17.300000 CR sputtering
Co7.500000V74.000000Zr18.500000 CR sputtering
Co7.530000V72.700000Zr19.800000 CR sputtering
Co7.550000V71.300000Zr21.100000 CR sputtering
Co7.550000V69.900000Zr22.600000 CR sputtering
Co7.560000V68.400000Zr24.000000 AM sputtering
Co7.550000V66.800000Zr25.600000 AM sputtering
Co7.530000V65.200000Zr27.200000 AM sputtering
Co7.500000V63.600000Zr28.900000 AM sputtering
Co8.260000V76.500000Zr15.200000 CR sputtering
Co8.310000V75.400000Zr16.300000 CR sputtering
Co8.360000V74.200000Zr17.500000 CR sputtering
Co8.390000V72.900000Zr18.700000 CR sputtering
Co8.420000V71.600000Zr20.000000 CR sputtering
Co8.430000V70.300000Zr21.300000 AM sputtering
Co8.440000V68.800000Zr22.700000 AM sputtering
Co8.430000V67.400000Zr24.200000 AM sputtering
Co8.420000V65.800000Zr25.800000 AM sputtering
Co8.390000V64.200000Zr27.400000 AM sputtering
Co8.350000V62.600000Zr29.100000 AM sputtering
Co8.300000V60.900000Zr30.800000 AM sputtering
Co8.240000V59.200000Zr32.600000 AM sputtering
Co9.190000V76.400000Zr14.400000 CR sputtering
Co9.260000V75.300000Zr15.400000 CR sputtering
Co9.310000V74.200000Zr16.500000 CR sputtering
Co9.350000V73.000000Zr17.600000 CR sputtering
Co9.390000V71.800000Zr18.800000 CR sputtering
Co9.410000V70.500000Zr20.100000 CR sputtering
Co9.420000V69.100000Zr21.400000 AM sputtering
Co9.420000V67.700000Zr22.900000 AM sputtering
Co9.410000V66.300000Zr24.300000 AM sputtering
Co9.380000V64.700000Zr25.900000 AM sputtering
Co9.340000V63.200000Zr27.500000 AM sputtering
Co9.290000V61.600000Zr29.200000 AM sputtering
Co9.230000V59.900000Zr30.900000 AM sputtering
Co9.150000V58.200000Zr32.700000 AM sputtering
Co9.060000V56.400000Zr34.500000 AM sputtering
Co10.200000V76.200000Zr13.600000 CR sputtering
Co10.300000V75.100000Zr14.600000 CR sputtering
Co10.400000V74.100000Zr15.600000 CR sputtering
Co10.400000V72.900000Zr16.600000 CR sputtering
Co10.500000V71.800000Zr17.800000 CR sputtering
Co10.500000V70.500000Zr19.000000 CR sputtering
Co10.500000V69.300000Zr20.200000 CR sputtering
Co10.500000V67.900000Zr21.600000 AM sputtering
Co10.500000V66.500000Zr23.000000 AM sputtering
Co10.500000V65.100000Zr24.400000 AM sputtering
Co10.400000V63.600000Zr25.900000 AM sputtering
Co10.400000V62.100000Zr27.500000 AM sputtering
Co10.300000V60.500000Zr29.200000 AM sputtering
Co10.300000V58.800000Zr30.900000 AM sputtering
Co10.200000V57.100000Zr32.700000 AM sputtering
Co10.100000V55.400000Zr34.500000 AM sputtering
Co9.930000V53.700000Zr36.400000 AM sputtering
Co11.400000V75.700000Zr12.900000 CR sputtering
Co11.500000V74.800000Zr13.800000 CR sputtering
Co11.500000V73.800000Zr14.700000 CR sputtering
Co11.600000V72.700000Zr15.700000 CR sputtering
Co11.600000V71.600000Zr16.800000 CR sputtering
Co11.700000V70.400000Zr17.900000 CR sputtering
Co11.700000V69.200000Zr19.100000 CR sputtering
Co11.700000V68.000000Zr20.300000 AM sputtering
Co11.700000V66.600000Zr21.600000 AM sputtering
Co11.700000V65.300000Zr23.000000 AM sputtering
Co11.700000V63.900000Zr24.500000 AM sputtering
Co11.600000V62.400000Zr26.000000 AM sputtering
Co11.600000V60.900000Zr27.600000 AM sputtering
Co11.500000V59.300000Zr29.200000 AM sputtering
Co11.400000V57.700000Zr30.900000 AM sputtering
Co11.300000V56.100000Zr32.700000 AM sputtering
Co11.200000V54.400000Zr34.500000 AM sputtering
Co11.000000V52.700000Zr36.300000 AM sputtering
Co10.800000V50.900000Zr38.200000 AM sputtering
Co12.700000V75.200000Zr12.200000 CR sputtering
Co12.700000V74.300000Zr13.000000 CR sputtering
Co12.800000V73.300000Zr13.900000 CR sputtering
Co12.900000V72.300000Zr14.800000 CR sputtering
Co13.000000V71.200000Zr15.800000 CR sputtering
Co13.000000V70.200000Zr16.800000 CR sputtering
Co13.000000V69.000000Zr18.000000 CR sputtering
Co13.100000V67.800000Zr19.100000 AM sputtering
Co13.100000V66.600000Zr20.400000 AM sputtering
Co13.100000V65.300000Zr21.700000 AM sputtering
Co13.000000V63.900000Zr23.000000 AM sputtering
Co13.000000V62.600000Zr24.500000 AM sputtering
Co12.900000V61.100000Zr26.000000 AM sputtering
Co12.800000V59.600000Zr27.500000 AM sputtering
Co12.800000V58.100000Zr29.100000 AM sputtering
Co12.600000V56.500000Zr30.800000 AM sputtering
Co12.500000V54.900000Zr32.600000 AM sputtering
Co12.400000V53.300000Zr34.300000 AM sputtering
Co12.200000V51.600000Zr36.200000 AM sputtering
Co12.000000V49.900000Zr38.100000 AM sputtering
Co11.800000V48.200000Zr40.000000 CR sputtering
Co14.200000V73.600000Zr12.300000 CR sputtering
Co14.300000V72.700000Zr13.100000 CR sputtering
Co14.300000V71.700000Zr14.000000 CR sputtering
Co14.400000V70.700000Zr14.900000 CR sputtering
Co14.500000V69.700000Zr15.900000 CR sputtering
Co14.500000V68.600000Zr16.900000 CR sputtering
Co14.500000V67.500000Zr18.000000 AM sputtering
Co14.500000V66.300000Zr19.100000 AM sputtering
Co14.500000V65.100000Zr20.400000 AM sputtering
Co14.500000V63.800000Zr21.700000 AM sputtering
Co14.500000V62.500000Zr23.000000 AM sputtering
Co14.400000V61.200000Zr24.400000 AM sputtering
Co14.400000V59.800000Zr25.900000 AM sputtering
Co14.300000V58.300000Zr27.400000 AM sputtering
Co14.100000V56.800000Zr29.000000 AM sputtering
Co14.000000V55.300000Zr30.700000 AM sputtering
Co13.900000V53.800000Zr32.400000 AM sputtering
Co13.700000V52.200000Zr34.200000 AM sputtering
Co13.500000V50.500000Zr36.000000 AM sputtering
Co13.300000V48.900000Zr37.800000 AM sputtering
Co13.000000V47.200000Zr39.700000 AM sputtering
Co15.800000V71.800000Zr12.400000 CR sputtering
Co15.900000V70.900000Zr13.200000 CR sputtering
Co16.000000V70.000000Zr14.000000 CR sputtering
Co16.100000V69.000000Zr14.900000 CR sputtering
Co16.100000V68.000000Zr15.900000 CR sputtering
Co16.200000V66.900000Zr16.900000 CR sputtering
Co16.200000V65.800000Zr18.000000 AM sputtering
Co16.200000V64.700000Zr19.100000 AM sputtering
Co16.200000V63.500000Zr20.300000 AM sputtering
Co16.100000V62.300000Zr21.600000 AM sputtering
Co16.100000V61.000000Zr22.900000 AM sputtering
Co16.000000V59.700000Zr24.300000 AM sputtering
Co15.900000V58.300000Zr25.800000 AM sputtering
Co15.800000V56.900000Zr27.300000 AM sputtering
Co15.700000V55.500000Zr28.800000 AM sputtering
Co15.500000V54.000000Zr30.500000 AM sputtering
Co15.300000V52.500000Zr32.200000 AM sputtering
Co15.100000V51.000000Zr33.900000 AM sputtering
Co14.900000V49.400000Zr35.700000 AM sputtering
Co14.700000V47.800000Zr37.500000 AM sputtering
Co14.400000V46.200000Zr39.400000 AM sputtering
Co14.100000V44.600000Zr41.300000 CR sputtering
Co17.700000V69.900000Zr12.400000 CR sputtering
Co17.700000V69.100000Zr13.200000 CR sputtering
Co17.800000V68.100000Zr14.000000 CR sputtering
Co17.900000V67.200000Zr14.900000 CR sputtering
Co17.900000V66.200000Zr15.900000 CR sputtering
Co18.000000V65.200000Zr16.900000 CR sputtering
Co18.000000V64.100000Zr17.900000 AM sputtering
Co18.000000V63.000000Zr19.100000 AM sputtering
Co17.900000V61.800000Zr20.200000 AM sputtering
Co17.900000V60.600000Zr21.500000 AM sputtering
Co17.800000V59.400000Zr22.800000 AM sputtering
Co17.700000V58.100000Zr24.100000 AM sputtering
Co17.600000V56.800000Zr25.600000 AM sputtering
Co17.500000V55.500000Zr27.000000 AM sputtering
Co17.300000V54.100000Zr28.600000 AM sputtering
Co17.100000V52.700000Zr30.200000 AM sputtering
Co16.900000V51.200000Zr31.800000 AM sputtering
Co16.700000V49.700000Zr33.600000 AM sputtering
Co16.400000V48.200000Zr35.300000 AM sputtering
Co16.200000V46.700000Zr37.100000 AM sputtering
Co15.900000V45.100000Zr39.000000 AM sputtering
Co15.600000V43.600000Zr40.900000 AM sputtering
Co19.700000V67.900000Zr12.400000 CR sputtering
Co19.700000V67.100000Zr13.200000 CR sputtering
Co19.800000V66.200000Zr14.000000 CR sputtering
Co19.900000V65.300000Zr14.900000 CR sputtering
Co19.900000V64.300000Zr15.800000 CR sputtering
Co19.900000V63.300000Zr16.800000 AM sputtering
Co19.900000V62.300000Zr17.800000 AM sputtering
Co19.900000V61.200000Zr18.900000 AM sputtering
Co19.800000V60.100000Zr20.100000 AM sputtering
Co19.800000V58.900000Zr21.300000 AM sputtering
Co19.700000V57.700000Zr22.600000 AM sputtering
Co19.600000V56.500000Zr23.900000 AM sputtering
Co19.500000V55.200000Zr25.300000 AM sputtering
Co19.300000V54.000000Zr26.800000 AM sputtering
Co19.100000V52.600000Zr28.300000 AM sputtering
Co18.900000V51.300000Zr29.800000 AM sputtering
Co18.700000V49.900000Zr31.500000 AM sputtering
Co18.400000V48.400000Zr33.100000 AM sputtering
Co18.100000V47.000000Zr34.900000 AM sputtering
Co17.800000V45.500000Zr36.700000 AM sputtering
Co17.500000V44.000000Zr38.500000 AM sputtering
Co17.100000V42.500000Zr40.300000 AM sputtering
Co21.700000V66.600000Zr11.700000 CR sputtering
Co21.800000V65.800000Zr12.400000 CR sputtering
Co21.900000V65.000000Zr13.100000 CR sputtering
Co22.000000V64.100000Zr13.900000 CR sputtering
Co22.000000V63.200000Zr14.800000 CR sputtering
Co22.000000V62.300000Zr15.700000 CR sputtering
Co22.000000V61.300000Zr16.700000 AM sputtering
Co22.000000V60.300000Zr17.700000 AM sputtering
Co22.000000V59.300000Zr18.800000 AM sputtering
Co21.900000V58.200000Zr19.900000 AM sputtering
Co21.800000V57.100000Zr21.100000 AM sputtering
Co21.700000V56.000000Zr22.300000 AM sputtering
Co21.600000V54.800000Zr23.600000 AM sputtering
Co21.400000V53.600000Zr25.000000 AM sputtering
Co21.300000V52.300000Zr26.400000 AM sputtering
Co21.100000V51.100000Zr27.900000 AM sputtering
Co20.800000V49.800000Zr29.400000 AM sputtering
Co20.600000V48.500000Zr31.000000 AM sputtering
Co20.300000V47.100000Zr32.600000 AM sputtering
Co19.900000V45.700000Zr34.300000 AM sputtering
Co19.600000V44.300000Zr36.100000 AM sputtering
Co19.200000V42.900000Zr37.900000 AM sputtering
Co18.800000V41.500000Zr39.700000 AM sputtering
Co24.100000V64.300000Zr11.600000 CR sputtering
Co24.200000V63.500000Zr12.300000 CR sputtering
Co24.200000V62.700000Zr13.000000 CR sputtering
Co24.300000V61.900000Zr13.800000 CR sputtering
Co24.300000V61.000000Zr14.700000 CR sputtering
Co24.300000V60.100000Zr15.500000 CR sputtering
Co24.300000V59.200000Zr16.500000 AM sputtering
Co24.300000V58.200000Zr17.500000 AM sputtering
Co24.200000V57.300000Zr18.500000 AM sputtering
Co24.200000V56.200000Zr19.600000 AM sputtering
