Co, Ti, Zr, is_glass
6.345,25.289,68.366,0.000
6.261,23.950,69.789,0.000
6.173,22.664,71.162,0.000
6.082,21.433,72.485,0.000
5.988,20.254,73.758,0.000
5.891,19.128,74.981,0.000
5.791,18.054,76.155,0.000
5.690,17.028,77.282,0.000
5.585,16.051,78.363,0.000
7.511,32.500,59.989,0.000
7.452,30.895,61.653,0.000
7.384,29.341,63.275,0.000
7.308,27.840,64.852,0.000
7.224,26.393,66.384,0.000
7.133,24.999,67.868,0.000
7.037,23.659,69.305,0.000
6.935,22.372,70.693,0.000
6.828,21.140,72.032,0.000
6.717,19.960,73.323,0.000
6.603,18.832,74.565,0.000
6.485,17.755,75.760,0.000
6.363,16.728,76.909,0.000
6.238,15.748,78.013,0.000
6.110,14.814,79.076,0.000
8.493,33.820,57.687,0.000
8.440,32.166,59.394,0.000
8.375,30.564,61.061,0.000
8.299,29.014,62.687,0.000
8.213,27.517,64.270,0.000
8.118,26.073,65.809,0.000
8.015,24.683,67.302,0.000
7.904,23.347,68.749,0.000
7.787,22.065,70.149,0.000
7.663,20.835,71.501,0.000
7.534,19.659,72.807,0.000
7.400,18.534,74.066,0.000
7.262,17.460,75.279,0.000
7.119,16.434,76.447,0.000
6.971,15.457,77.572,0.000
6.820,14.524,78.656,0.000
6.664,13.636,79.700,0.000
9.579,35.116,55.306,0.000
9.536,33.420,57.044,0.000
9.477,31.776,58.747,0.000
9.406,30.183,60.412,0.000
9.321,28.642,62.037,0.000
9.224,27.155,63.621,0.000
9.117,25.721,65.162,0.000
9.000,24.340,66.660,0.000
8.873,23.013,68.114,0.000
8.739,21.739,69.522,0.000
8.597,20.518,70.885,0.000
8.448,19.349,72.203,0.000
8.293,18.232,73.476,0.000
8.132,17.164,74.704,0.000
7.965,16.145,75.890,0.000
7.794,15.173,77.033,0.000
7.617,14.246,78.137,0.000
7.435,13.363,79.202,0.000
7.248,12.522,80.230,0.000
10.772,36.367,52.861,0.500
10.744,34.637,54.619,0.000
10.697,32.957,56.346,0.000
10.633,31.328,58.038,0.000
10.554,29.751,59.695,0.000
10.459,28.226,61.315,0.000
10.351,26.753,62.896,0.000
10.230,25.334,64.436,0.000
10.098,23.967,65.935,0.000
9.955,22.654,67.391,0.000
9.802,21.393,68.805,0.000
9.640,20.185,70.175,0.000
9.469,19.028,71.503,0.000
9.291,17.922,72.787,0.000
9.106,16.865,74.029,0.000
8.914,15.856,75.230,0.000
8.716,14.894,76.390,0.000
8.512,13.977,77.512,0.000
8.302,13.102,78.596,0.000
8.086,12.269,79.645,0.000
7.864,11.476,80.660,0.000
12.069,35.795,52.136,0.500
12.039,34.087,53.874,0.500
11.989,32.429,55.582,0.000
11.919,30.822,57.259,0.000
11.831,29.266,58.903,0.000
11.726,27.762,60.513,0.000
11.605,26.310,62.085,0.000
11.470,24.910,63.620,0.000
11.321,23.563,65.116,0.000
11.159,22.268,66.573,0.000
10.986,21.025,67.989,0.000
10.802,19.834,69.364,0.000
10.608,18.693,70.698,0.000
10.406,17.603,71.992,0.000
10.194,16.560,73.246,0.000
9.975,15.565,74.460,0.000
9.749,14.616,75.635,0.000
9.515,13.711,76.774,0.000
9.275,12.849,77.876,0.000
9.028,12.028,78.944,0.000
8.775,11.246,79.980,0.000
13.518,36.873,49.610,0.500
13.509,35.145,51.346,0.500
13.476,33.465,53.058,0.500
13.421,31.835,54.744,0.000
13.344,30.255,56.400,0.000
13.247,28.726,58.027,0.000
13.131,27.248,59.621,0.000
12.997,25.822,61.182,0.000
12.845,24.447,62.707,0.000
12.679,23.124,64.197,0.000
12.497,21.853,65.650,0.000
12.303,20.632,67.065,0.000
12.095,19.462,68.442,0.000
11.877,18.342,69.781,0.000
11.647,17.270,71.082,0.000
11.408,16.246,72.346,0.000
11.160,15.269,73.572,0.000
10.903,14.336,74.762,0.000
10.638,13.447,75.916,0.000
10.365,12.599,77.036,0.000
10.085,11.793,78.123,0.000
9.798,11.024,79.177,0.000
9.505,10.293,80.202,0.000
15.110,36.110,48.780,0.500
15.101,34.416,50.483,0.500
15.066,32.770,52.164,0.500
15.005,31.174,53.821,0.500
14.921,29.627,55.452,0.500
14.814,28.130,57.056,0.000
14.685,26.684,58.631,0.000
14.536,25.288,60.176,0.000
14.368,23.943,61.688,0.000
14.183,22.649,63.168,0.000
13.980,21.406,64.614,0.000
13.763,20.212,66.026,0.000
13.531,19.067,67.402,0.000
13.285,17.971,68.744,0.000
13.028,16.923,70.050,0.000
12.759,15.920,71.321,0.000
12.479,14.963,72.558,0.000
12.190,14.050,73.760,0.000
11.891,13.180,74.929,0.000
11.584,12.350,76.066,0.000
11.269,11.560,77.171,0.000
10.946,10.808,78.246,0.000
10.616,10.092,79.291,0.000
16.867,35.261,47.872,0.500
16.856,33.608,49.536,0.500
16.818,32.002,51.180,0.500
16.751,30.444,52.805,0.500
16.658,28.936,54.406,0.500
16.540,27.476,55.983,0.500
16.398,26.067,57.535,0.000
16.234,24.707,59.059,0.000
16.048,23.397,60.555,0.000
15.843,22.136,62.021,0.000
15.618,20.925,63.457,0.000
15.376,19.762,64.862,0.000
15.118,18.646,66.235,0.000
14.845,17.578,67.577,0.000
14.558,16.556,68.886,0.000
14.258,15.579,70.163,0.000
13.945,14.646,71.409,0.000
13.621,13.756,72.623,0.000
13.287,12.907,73.806,0.000
12.944,12.097,74.959,0.000
12.591,11.326,76.083,0.000
12.230,10.592,77.177,0.000
11.862,9.894,78.244,0.000
18.795,34.329,46.876,0.500
18.783,32.721,48.496,0.500
18.740,31.160,50.100,0.500
18.667,29.646,51.687,0.500
18.565,28.181,53.254,0.500
18.436,26.764,54.800,0.500
18.280,25.396,56.324,0.500
18.099,24.077,57.824,0.000
17.895,22.806,59.299,0.000
17.669,21.583,60.749,0.000
17.421,20.407,62.171,0.000
17.154,19.279,63.567,0.000
16.869,18.197,64.934,0.000
16.566,17.161,66.273,0.000
16.248,16.169,67.583,0.000
15.915,15.220,68.865,0.000
15.569,14.314,70.117,0.000
15.209,13.449,71.342,0.000
14.838,12.624,72.538,0.000
14.456,11.837,73.707,0.000
14.064,11.088,74.848,0.000
13.663,10.374,75.962,0.000
13.254,9.695,77.051,0.000
20.902,33.313,45.784,0.500
20.888,31.755,47.357,0.500
20.840,30.244,48.916,0.500
20.760,28.780,50.460,0.500
20.649,27.363,51.988,0.500
20.507,25.993,53.499,0.500
20.337,24.671,54.992,0.500
20.139,23.397,56.464,0.500
19.916,22.169,57.915,0.500
19.668,20.988,59.344,0.000
19.397,19.853,60.750,0.000
19.104,18.763,62.133,0.000
18.791,17.718,63.491,0.000
18.459,16.716,64.825,0.000
18.108,15.757,66.134,0.000
17.742,14.841,67.418,0.000
17.360,13.964,68.676,0.000
16.963,13.128,69.909,0.000
16.554,12.329,71.117,0.000
16.132,11.568,72.300,0.000
15.699,10.842,73.459,0.000
15.257,10.150,74.593,0.000
14.805,9.492,75.703,0.000
23.194,32.215,44.591,0.500
23.177,30.713,46.111,0.500
23.123,29.256,47.620,0.500
23.035,27.846,49.119,0.500
22.914,26.482,50.605,0.500
22.760,25.164,52.076,0.500
22.575,23.892,53.533,0.500
22.360,22.666,54.974,0.500
22.117,21.486,56.397,0.500
21.847,20.350,57.802,0.500
21.552,19.259,59.189,0.000
21.233,18.211,60.556,0.000
20.892,17.206,61.902,0.000
20.529,16.243,63.228,0.000
20.147,15.320,64.533,0.000
19.746,14.438,65.817,0.000
19.327,13.594,67.078,0.000
18.893,12.788,68.319,0.000
18.444,12.019,69.537,0.000
17.982,11.284,70.733,0.000
17.507,10.584,71.908,0.000
17.021,9.917,73.061,0.000
16.525,9.282,74.193,0.000
25.671,31.039,43.290,0.500
25.650,29.596,44.754,0.500
25.591,28.198,46.211,0.500
25.494,26.846,47.660,0.500
25.362,25.539,49.099,0.500
25.195,24.277,50.528,0.500
24.996,23.059,51.945,0.500
24.764,21.886,53.350,0.500
24.501,20.756,54.742,0.500
24.210,19.670,56.120,0.500
23.891,18.625,57.484,0.500
23.546,17.623,58.831,0.500
23.176,16.661,60.163,0.000
22.783,15.739,61.478,0.000
22.368,14.855,62.776,0.000
21.933,14.010,64.057,0.000
21.479,13.201,65.320,0.000
21.007,12.429,66.564,0.000
20.518,11.690,67.791,0.000
20.015,10.986,69.000,0.000
19.498,10.313,70.189,0.000
18.968,9.672,71.360,0.000
18.427,9.061,72.513,0.000
28.333,29.788,41.879,0.500
28.307,28.409,43.284,0.500
28.240,27.074,44.685,0.500
28.136,25.784,46.081,0.500
27.993,24.537,47.470,0.500
27.813,23.334,48.852,0.500
27.598,22.174,50.227,0.500
27.350,21.057,51.594,0.500
27.068,19.981,52.951,0.500
26.756,18.947,54.298,0.500
26.413,17.952,55.634,0.500
26.043,16.998,56.960,0.500
25.646,16.082,58.273,0.500
25.223,15.203,59.574,0.500
24.777,14.362,60.862,0.000
24.308,13.556,62.136,0.000
23.818,12.785,63.397,0.000
23.309,12.047,64.644,0.000
22.781,11.342,65.877,0.000
22.237,10.669,67.094,0.000
21.677,10.026,68.297,0.000
21.104,9.412,69.484,0.000
20.517,8.827,70.656,0.000
31.172,28.469,40.360,0.500
31.140,27.157,41.703,0.500
31.067,25.889,43.044,0.500
30.953,24.663,44.384,0.500
30.799,23.481,45.720,0.500
30.608,22.340,47.053,0.500
30.378,21.240,48.381,0.500
30.113,20.182,49.705,0.500
29.814,19.163,51.024,0.500
29.481,18.183,52.336,0.500
29.116,17.241,53.643,0.500
28.722,16.337,54.941,0.500
28.298,15.469,56.233,0.500
27.848,14.636,57.516,0.500
27.371,13.838,58.790,0.500
26.870,13.074,60.055,0.500
26.347,12.342,61.311,0.000
25.801,11.642,62.557,0.000
25.236,10.972,63.792,0.000
24.652,10.332,65.016,0.000
24.051,9.720,66.229,0.000
23.434,9.135,67.430,0.000
22.803,8.577,68.619,0.000
34.141,25.846,40.013,1.000
34.060,24.647,41.293,1.000
33.937,23.490,42.573,1.000
33.773,22.374,43.853,1.000
33.569,21.298,45.134,1.000
33.326,20.261,46.413,1.000
33.045,19.263,47.691,1.000
32.729,18.303,48.968,1.000
32.377,17.380,50.242,0.500
31.993,16.493,51.514,0.500
31.576,15.641,52.783,0.500
31.128,14.823,54.048,0.500
30.652,14.039,55.310,0.500
30.148,13.286,56.566,0.500
29.617,12.565,57.818,0.500
29.062,11.874,59.064,0.500
28.483,11.213,60.305,0.500
27.882,10.579,61.539,0.000
27.260,9.974,62.766,0.000
26.620,9.394,63.986,0.000
25.962,8.840,65.197,0.000
37.292,24.486,38.222,1.000
37.203,23.359,39.438,1.000
37.071,22.272,40.657,1.000
36.897,21.224,41.879,1.000
36.682,20.215,43.104,1.000
36.426,19.243,44.331,1.000
36.132,18.308,45.560,1.000
35.800,17.408,46.792,1.000
35.433,16.543,48.024,1.000
35.030,15.712,49.259,1.000
34.593,14.914,50.493,1.000
34.125,14.147,51.728,1.000
33.625,13.412,52.963,0.500
33.096,12.706,54.198,0.500
32.539,12.029,55.432,0.500
31.955,11.381,56.664,0.500
31.346,10.759,57.895,0.500
30.713,10.164,59.123,0.500
30.058,9.594,60.349,0.500
29.381,9.048,61.571,0.000
28.685,8.526,62.789,0.000
40.478,22.032,37.490,1.000
40.337,21.017,38.647,1.000
40.153,20.039,39.808,1.000
39.927,19.097,40.975,1.000
39.661,18.191,42.148,1.000
39.355,17.320,43.325,1.000
39.010,16.481,44.508,1.000
38.628,15.676,45.696,1.000
38.210,14.902,46.888,1.000
37.758,14.158,48.085,1.000
37.271,13.444,49.285,1.000
36.753,12.758,50.490,1.000
36.203,12.100,51.697,1.000
35.623,11.469,52.908,1.000
35.015,10.863,54.121,0.500
34.380,10.283,55.337,0.500
33.720,9.726,56.554,0.500
33.035,9.192,57.773,0.500
32.326,8.681,58.992,0.500
43.709,19.735,36.556,1.000
43.516,18.828,37.656,1.000
43.282,17.955,38.764,1.000
43.006,17.115,39.879,1.000
42.690,16.307,41.003,1.000
42.335,15.531,42.134,1.000
41.942,14.785,43.273,1.000
41.513,14.068,44.420,1.000
41.047,13.379,45.574,1.000
40.547,12.717,46.736,1.000
40.014,12.081,47.905,1.000
39.448,11.471,49.080,1.000
38.851,10.886,50.263,1.000
38.225,10.324,51.452,1.000
37.569,9.784,52.647,1.000
36.886,9.267,53.847,1.000
36.177,8.770,55.053,0.500
46.958,17.601,35.441,1.000
46.716,16.796,36.488,1.000
46.433,16.022,37.545,1.000
46.110,15.279,38.611,1.000
45.748,14.564,39.689,1.000
45.347,13.877,40.776,1.000
44.910,13.216,41.874,1.000
44.436,12.582,42.982,1.000
43.927,11.972,44.101,1.000
43.384,11.387,45.229,1.000
42.808,10.824,46.368,1.000
42.199,10.284,47.517,1.000
41.560,9.765,48.675,1.000
40.890,9.267,49.843,1.000
49.911,14.924,35.165,1.000
49.583,14.243,36.174,1.000
49.217,13.588,37.195,1.000
48.813,12.959,38.228,1.000
48.371,12.355,39.274,1.000
47.894,11.774,40.332,1.000
47.381,11.216,41.403,1.000
46.834,10.679,42.487,1.000
46.253,10.164,43.583,1.000
45.640,9.668,44.692,1.000
44.994,9.192,45.814,1.000
