Fe, Ti, Nb, is_glass
    42.743,    15.759,    41.498,     0.500
    42.504,    14.857,    42.639,     0.500
    42.219,    13.997,    43.784,     0.500
    39.910,    41.161,    18.929,     0.500
    40.733,    39.449,    19.818,     0.500
    41.505,    37.774,    20.722,     0.500
    42.225,    36.137,    21.638,     0.500
    42.893,    34.540,    22.567,     0.500
    43.507,    32.985,    23.508,     0.500
    44.068,    31.472,    24.461,     0.500
    44.574,    30.002,    25.425,     0.500
    45.025,    28.577,    26.399,     0.500
    45.420,    27.197,    27.383,     0.500
    45.762,    25.862,    28.376,     0.500
    46.048,    24.574,    29.378,     0.500
    46.280,    23.332,    30.389,     0.500
    46.457,    22.136,    31.407,     0.500
    46.581,    20.986,    32.433,     0.500
    46.653,    19.882,    33.465,     0.500
    46.672,    18.823,    34.505,     0.500
    46.640,    17.809,    35.551,     0.500
    46.558,    16.838,    36.604,     0.500
    46.427,    15.910,    37.663,     0.500
    46.248,    15.023,    38.729,     0.500
    46.022,    14.177,    39.801,     0.500
    45.751,    13.370,    40.879,     0.500
    43.075,    39.111,    17.814,     0.500
    43.928,    37.446,    18.626,     0.500
    44.728,    35.823,    19.449,     0.500
    45.475,    34.241,    20.284,     0.500
    46.167,    32.704,    21.130,     0.500
    46.803,    31.210,    21.987,     0.500
    47.385,    29.761,    22.854,     0.500
    47.910,    28.358,    23.731,     0.500
    48.380,    27.001,    24.619,     0.500
    48.794,    25.691,    25.515,     0.500
    49.152,    24.426,    26.421,     0.500
    49.455,    23.208,    27.337,     0.500
    49.703,    22.036,    28.260,     0.500
    49.897,    20.910,    29.193,     0.500
    50.037,    19.829,    30.134,     0.500
    50.125,    18.792,    31.083,     0.500
    50.160,    17.799,    32.041,     0.500
    50.144,    16.849,    33.006,     0.500
    50.079,    15.941,    33.980,     0.500
    49.964,    15.073,    34.962,     0.500
    49.802,    14.245,    35.953,     0.500
    49.593,    13.455,    36.952,     0.500
    49.339,    12.701,    37.960,     0.500
    46.321,    36.981,    16.698,     0.500
    47.197,    35.370,    17.433,     0.500
    48.017,    33.804,    18.178,     0.500
    48.782,    32.284,    18.933,     0.500
    49.492,    30.810,    19.698,     0.500
    50.144,    29.383,    20.473,     0.500
    50.741,    28.003,    21.256,     0.500
    51.281,    26.670,    22.050,     0.500
    51.764,    25.384,    22.852,     0.500
    52.192,    24.145,    23.664,     0.500
    52.563,    22.952,    24.484,     0.500
    52.880,    21.806,    25.314,     0.500
    53.142,    20.705,    26.153,     0.500
    53.350,    19.649,    27.001,     0.500
    53.505,    18.637,    27.858,     0.500
    53.607,    17.669,    28.724,     0.500
    53.658,    16.742,    29.599,     0.500
    53.659,    15.857,    30.484,     0.500
    53.611,    15.011,    31.378,     0.500
    53.514,    14.203,    32.282,     0.500
    53.370,    13.433,    33.196,     0.500
    53.181,    12.699,    34.121,     0.500
    52.946,    11.999,    35.055,     0.500
    49.622,    34.791,    15.586,     0.500
    50.512,    33.241,    16.248,     0.500
    51.344,    31.739,    16.917,     0.500
    52.120,    30.285,    17.595,     0.500
    52.839,    28.879,    18.282,     0.500
    53.501,    27.522,    18.977,     0.500
    54.106,    26.214,    19.680,     0.500
    54.655,    24.953,    20.392,     0.500
    55.147,    23.741,    21.113,     0.500
    55.583,    22.575,    21.842,     0.500
    55.964,    21.456,    22.580,     0.500
    56.290,    20.382,    23.328,     0.500
    56.563,    19.353,    24.084,     0.500
    56.782,    18.368,    24.850,     0.500
    56.950,    17.426,    25.625,     0.500
    57.066,    16.525,    26.409,     0.500
    57.132,    15.664,    27.204,     0.500
    57.149,    14.842,    28.009,     0.500
    57.118,    14.058,    28.824,     0.500
    57.040,    13.311,    29.650,     0.500
    56.916,    12.598,    30.486,     0.500
    56.747,    11.919,    31.334,     0.500
    56.534,    11.271,    32.194,     0.500
    52.951,    32.564,    14.486,     0.500
    53.844,    31.080,    15.076,     0.500
    54.680,    29.646,    15.674,     0.500
    55.459,    28.263,    16.278,     0.500
    56.180,    26.931,    16.890,     0.500
    56.843,    25.647,    17.509,     0.500
    57.450,    24.414,    18.136,     0.500
    58.001,    23.228,    18.771,     0.500
    58.496,    22.090,    19.414,     0.500
    58.936,    20.999,    20.065,     0.500
    59.322,    19.954,    20.725,     0.500
    59.654,    18.953,    21.393,     0.500
    59.934,    17.996,    22.070,     0.500
    60.162,    17.081,    22.757,     0.500
    60.340,    16.207,    23.453,     0.500
    60.468,    15.373,    24.159,     0.500
    60.548,    14.577,    24.875,     0.500
    60.580,    13.818,    25.602,     0.500
    60.566,    13.095,    26.339,     0.500
    60.507,    12.406,    27.088,     0.500
    60.403,    11.749,    27.848,     0.500
    60.256,    11.124,    28.620,     0.500
    60.067,    10.528,    29.405,     0.500
    56.276,    30.321,    13.403,     0.500
    57.164,    28.909,    13.926,     0.500
    57.995,    27.550,    14.456,     0.500
    58.767,    26.242,    14.991,     0.500
    59.482,    24.985,    15.533,     0.500
    60.141,    23.778,    16.081,     0.500
    60.743,    22.621,    16.636,     0.500
    61.782,    20.450,    17.768,     0.500
    62.221,    19.434,    18.345,     0.500
    62.607,    18.462,    18.931,     0.500
    62.941,    17.534,    19.525,     0.500
    63.225,    16.648,    20.127,     0.500
    63.459,    15.802,    20.739,     0.500
    63.644,    14.996,    21.360,     0.500
    63.782,    14.227,    21.991,     0.500
    63.874,    13.494,    22.631,     0.500
    63.920,    12.797,    23.283,     0.500
    63.922,    12.132,    23.945,     0.500
    63.881,    11.500,    24.619,     0.500
    63.798,    10.898,    25.305,     0.500
    63.673,    10.325,    26.002,     0.500
    63.508,     9.779,    26.713,     0.500
    59.568,    28.087,    12.345,     0.500
    60.442,    26.752,    12.806,     0.500
    61.258,    25.470,    13.272,     0.500
    62.017,    24.240,    13.743,     0.500
    62.719,    23.062,    14.219,     0.500
    63.365,    21.934,    14.702,     0.500
    63.956,    20.854,    15.190,     0.500
    64.493,    19.822,    15.685,     0.500
    64.977,    18.836,    16.187,     0.500
    65.410,    17.895,    16.696,     0.500
    65.792,    16.996,    17.212,     0.500
    66.124,    16.140,    17.736,     0.500
    66.408,    15.323,    18.269,     0.500
    66.645,    14.545,    18.810,     0.500
    66.835,    13.804,    19.361,     0.500
    66.981,    13.099,    19.920,     0.500
    67.082,    12.428,    20.490,     0.500
    67.141,    11.789,    21.070,     0.500
    67.158,    11.182,    21.661,     0.500
    67.134,    10.604,    22.263,     0.500
    67.070,    10.054,    22.876,     0.500
    66.967,     9.531,    23.502,     0.500
