# register#,plate_y,plate_x,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,,,,,,,,,,scan#,Imax,Iave,ratio,scan#,texture,Co,Ti,Zr,# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,5.21E+06,5.83E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,9.39E+04,9.26E+04,8.91E+02,3.93E+02,1.89E+04,4.86E+03,2.66E+04,1.17E+04,3.22E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,4.03E+03,7.13E+02,5.65E+00,1.00E+00,4.14E-04,0.048864438,0.232086351,0.71904921,2.32E+00,1.24E-01,8.05E-02,3.66E+02,2.00E+00
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,5.20E+06,5.78E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.24E+05,1.22E+05,1.34E+03,5.06E+02,2.75E+04,6.23E+03,3.01E+04,1.89E+04,4.88E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.63E+03,6.17E+02,2.64E+00,2.00E+00,3.14E-04,0.057740661,0.283806492,0.658452847,2.32E+00,1.24E-01,8.05E-02,3.66E+02,2.00E+00
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,5.19E+06,5.77E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.53E+01,1.23E+05,1.20E+05,1.34E+03,4.46E+02,2.78E+04,6.30E+03,2.93E+04,1.82E+04,4.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.13E+04,9.90E+02,1.14E+01,3.00E+00,3.23E-04,0.057092258,0.269414712,0.67349303,2.32E+00,1.37E-01,7.85E-02,4.08E+02,2.00E+00
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,5.19E+06,5.75E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.22E+05,1.20E+05,1.33E+03,4.88E+02,2.77E+04,6.43E+03,2.97E+04,1.76E+04,4.57E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.09E+04,9.80E+02,1.11E+01,4.00E+00,3.45E-04,0.056404567,0.255549902,0.688045531,2.32E+00,1.25E-01,7.68E-02,4.27E+02,2.00E+00
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,5.18E+06,5.74E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.21E+05,1.19E+05,1.18E+03,5.32E+02,2.72E+04,6.48E+03,3.06E+04,1.61E+04,4.19E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,2.28E+03,6.53E+02,3.50E+00,5.00E+00,3.77E-04,0.055683428,0.242219236,0.702097336,2.32E+00,1.01E-01,7.42E-02,4.22E+02,2.00E+00
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,5.20E+06,5.76E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.21E+05,1.19E+05,1.17E+03,5.47E+02,2.71E+04,6.61E+03,3.07E+04,1.53E+04,4.12E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,2.60E+03,6.88E+02,3.78E+00,6.00E+00,4.04E-04,0.054934134,0.229425291,0.715640576,2.32E+00,9.36E-02,7.26E-02,4.52E+02,2.00E+00
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,5.22E+06,5.83E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.22E+05,1.20E+05,1.14E+03,5.77E+02,2.72E+04,6.79E+03,3.17E+04,1.46E+04,3.79E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,2.97E+03,6.58E+02,4.51E+00,7.00E+00,4.30E-04,0.054160766,0.217169174,0.72867006,2.31E+00,8.66E-02,7.13E-02,4.86E+02,2.00E+00
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,5.22E+06,5.83E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.21E+05,1.19E+05,1.05E+03,6.09E+02,2.71E+04,6.77E+03,3.18E+04,1.38E+04,3.65E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,3.29E+03,6.64E+02,4.96E+00,8.00E+00,4.53E-04,0.05336835,0.205445394,0.741186256,2.31E+00,8.17E-02,7.00E-02,5.16E+02,2.00E+00
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,5.21E+06,5.84E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.20E+05,1.18E+05,1.09E+03,5.85E+02,2.71E+04,6.95E+03,3.21E+04,1.30E+04,3.46E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,3.56E+03,6.71E+02,5.31E+00,9.00E+00,4.70E-04,0.052558526,0.194248697,0.753192778,2.31E+00,7.86E-02,6.90E-02,5.48E+02,2.00E+00
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,5.20E+06,5.84E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,1.19E+05,1.17E+05,9.96E+02,5.71E+02,2.67E+04,6.88E+03,3.20E+04,1.22E+04,3.26E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,3.76E+03,6.76E+02,5.57E+00,1.00E+01,4.79E-04,0.051733952,0.183567333,0.764698714,2.31E+00,7.72E-02,6.78E-02,5.81E+02,2.00E+00
