# register#,plate_y,plate_x,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,,,,,,,,,,scan#,Imax,Iave,ratio,scan#,texture,Co,Ti,Zr,# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
5.60E+01,-1.80E+01,-3.00E+01,3.00E+01,5.21E+06,5.88E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.55E+01,1.79E+05,1.76E+05,3.92E+03,3.50E+02,2.48E+04,4.59E+03,2.29E+04,6.55E+04,1.70E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,1.25E+03,5.92E+02,2.12E+00,1.10E+01,2.25E-04,0.045315008,0.750121508,0.204563483,2.66E+00,1.18E-01,1.18E-01,6.09E+02,1.00E+00
5.70E+01,-1.50E+01,-3.00E+01,3.00E+01,5.21E+06,5.87E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.77E+05,1.73E+05,3.73E+03,3.27E+02,2.53E+04,4.53E+03,2.29E+04,6.27E+04,1.65E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,1.25E+03,5.90E+02,2.11E+00,1.20E+01,2.34E-04,0.046568377,0.736953231,0.216478392,2.65E+00,1.18E-01,1.18E-01,6.14E+02,1.00E+00
5.80E+01,-1.20E+01,-3.00E+01,3.00E+01,5.20E+06,5.84E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.56E+01,1.71E+05,1.68E+05,3.52E+03,3.31E+02,2.56E+04,4.64E+03,2.25E+04,6.07E+04,1.56E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,1.25E+03,5.89E+02,2.12E+00,1.30E+01,2.40E-04,0.047806626,0.723476297,0.228717078,2.65E+00,1.19E-01,1.19E-01,6.23E+02,1.00E+00
5.90E+01,-9.00E+00,-3.00E+01,3.00E+01,5.19E+06,5.84E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.69E+05,1.66E+05,3.42E+03,3.17E+02,2.55E+04,4.81E+03,2.32E+04,5.71E+04,1.50E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,1.26E+03,5.90E+02,2.13E+00,1.40E+01,2.47E-04,0.049028599,0.709716036,0.241255365,2.64E+00,1.19E-01,1.19E-01,6.38E+02,1.00E+00
6.00E+01,-6.00E+00,-3.00E+01,3.00E+01,5.19E+06,5.81E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,1.66E+05,1.62E+05,3.16E+03,3.70E+02,2.59E+04,4.83E+03,2.28E+04,5.44E+04,1.41E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,1.26E+03,5.88E+02,2.15E+00,1.50E+01,2.50E-04,0.05023373,0.695700798,0.254065472,2.64E+00,1.19E-01,1.19E-01,6.49E+02,1.00E+00
6.10E+01,-3.00E+00,-3.00E+01,3.00E+01,5.18E+06,5.79E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.61E+05,1.58E+05,3.25E+03,3.64E+02,2.59E+04,4.74E+03,2.27E+04,5.20E+04,1.36E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,1.27E+03,5.86E+02,2.17E+00,1.60E+01,2.52E-04,0.051421447,0.681462645,0.267115908,2.63E+00,1.19E-01,1.19E-01,6.64E+02,1.00E+00
6.20E+01,0.00E+00,-3.00E+01,3.00E+01,5.20E+06,5.82E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.58E+05,1.55E+05,3.03E+03,3.63E+02,2.58E+04,4.86E+03,2.28E+04,4.97E+04,1.29E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+01,1.29E+03,5.90E+02,2.19E+00,1.70E+01,2.54E-04,0.052589867,0.66703466,0.280375473,2.63E+00,1.20E-01,1.20E-01,6.85E+02,1.00E+00
6.30E+01,3.00E+00,-3.00E+01,3.00E+01,5.22E+06,5.87E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.55E+05,1.52E+05,3.02E+03,3.59E+02,2.61E+04,4.94E+03,2.32E+04,4.74E+04,1.24E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+01,1.32E+03,5.96E+02,2.21E+00,1.80E+01,2.54E-04,0.053738446,0.652452981,0.293808573,2.62E+00,1.21E-01,1.21E-01,7.04E+02,1.00E+00
6.40E+01,6.00E+00,-3.00E+01,3.00E+01,5.21E+06,5.86E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.51E+05,1.48E+05,2.80E+03,3.83E+02,2.62E+04,4.97E+03,2.32E+04,4.47E+04,1.16E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+01,1.32E+03,5.96E+02,2.22E+00,1.90E+01,2.53E-04,0.054865408,0.637752069,0.307382522,2.62E+00,1.22E-01,1.22E-01,7.10E+02,1.00E+00
6.50E+01,9.00E+00,-3.00E+01,3.00E+01,5.21E+06,5.84E+06,0.00E+00,0.00E+00,1.51E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.46E+05,1.44E+05,2.65E+03,3.73E+02,2.61E+04,4.87E+03,2.35E+04,4.18E+04,1.08E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,1.32E+03,5.95E+02,2.22E+00,2.00E+01,2.52E-04,0.055969498,0.62296659,0.321063912,2.61E+00,1.24E-01,1.24E-01,7.12E+02,1.00E+00
