# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
2.307847822219680101e+00,7.970936225849306611e-02,6.793269756957606709e-02,5.657547087279646121e+02,2.000000000000000000e+00
2.306607998786954994e+00,7.912149486340072646e-02,6.665896798779957777e-02,5.980689425995053625e+02,2.000000000000000000e+00
2.339167296562587595e+00,1.455885146509721673e-01,1.038492091964622194e-01,3.233390498434085316e+02,2.000000000000000000e+00
2.333850466670248647e+00,1.324537964782415700e-01,9.551787039962555959e-02,3.258934867171479937e+02,2.000000000000000000e+00
2.329736312849467250e+00,1.257175320974859012e-01,8.970150948790144019e-02,3.354228832903802413e+02,2.000000000000000000e+00
2.326215829504088894e+00,1.205267633585134085e-01,8.554531090339645427e-02,3.440132992783236432e+02,2.000000000000000000e+00
2.322977108632295451e+00,1.154116667175700134e-01,8.234242588458498546e-02,3.564136229038993520e+02,2.000000000000000000e+00
2.319786547853178948e+00,1.099430856492765451e-01,8.009528081064928862e-02,3.721044326692398272e+02,2.000000000000000000e+00
2.317174048729350400e+00,1.040831749937920492e-01,7.827572076412006585e-02,3.905552483480795445e+02,2.000000000000000000e+00
2.314949205781215102e+00,9.837149047826281023e-02,7.704511286960305516e-02,4.094065039038720215e+02,2.000000000000000000e+00
2.313063211925913354e+00,9.328830689168200740e-02,7.629976448218175888e-02,4.264384829436555719e+02,2.000000000000000000e+00
2.311378300656607543e+00,8.922383002470653246e-02,7.441540396869043839e-02,4.512326949173892672e+02,2.000000000000000000e+00
2.309988720288998820e+00,8.599282029123259119e-02,7.266733508298189870e-02,4.751700182211474726e+02,2.000000000000000000e+00
2.308596036885170566e+00,8.393335809681988502e-02,7.094581105787170494e-02,4.976522444081383583e+02,2.000000000000000000e+00
2.307198472581860393e+00,8.278681442488314279e-02,6.947548770399940288e-02,5.187307382583499020e+02,2.000000000000000000e+00
2.305952527043062972e+00,8.218373418244531714e-02,6.838946127782546958e-02,5.388238175037303108e+02,2.000000000000000000e+00
