# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted, Zr_adjusted,peak_position,peak_width,peak_intensity,V_alpha1,V_alpha2,V_beta,Co_alpha1,Co_alpha2,Co_beta,Citrine_ID
5.70E+01,-1.50E+01,-3.00E+01,3.00E+01,3.95E+06,4.89E+06,0.00E+00,0.00E+00,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,9.45E+05,8.59E+05,1.52E+05,3.19E+05,4.80E+04,5.25E+03,2.23E+04,1.38E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,1.11E+03,8.02E+02,1.38E+00,1.20E+01,1.51E-05,2.11E+01,4.85E+01,3.04E+01,2.07E-01,4.97E-01,2.96E-01,2.68E+00,6.15E-01,2.48E+02,4.31E+03,2.16E+03,9.80E+02,7.95E+03,3.98E+03,1.59E+03,912
5.80E+01,-1.20E+01,-3.00E+01,3.00E+01,3.94E+06,4.88E+06,0.00E+00,5.16E+04,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,9.44E+05,8.58E+05,1.46E+05,3.23E+05,4.98E+04,5.46E+03,2.17E+04,1.35E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,1.11E+03,8.04E+02,1.38E+00,1.30E+01,1.50E-05,2.12E+01,4.66E+01,3.21E+01,2.10E-01,4.78E-01,3.12E-01,2.67E+00,6.14E-01,2.61E+02,4.16E+03,2.08E+03,9.45E+02,8.09E+03,4.05E+03,1.64E+03,913
5.90E+01,-9.00E+00,-3.00E+01,3.00E+01,4.23E+06,5.15E+06,0.00E+00,1.41E+07,1.10E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,9.31E+05,8.48E+05,1.39E+05,3.25E+05,4.99E+04,5.43E+03,2.07E+04,1.35E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,1.10E+03,8.01E+02,1.38E+00,1.40E+01,1.50E-05,2.14E+01,4.47E+01,3.39E+01,2.13E-01,4.58E-01,3.29E-01,2.66E+00,6.17E-01,2.73E+02,3.97E+03,1.99E+03,9.15E+02,8.08E+03,4.04E+03,1.65E+03,914
6.00E+01,-6.00E+00,-3.00E+01,3.00E+01,4.22E+06,5.17E+06,0.00E+00,1.41E+07,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,9.32E+05,8.49E+05,1.33E+05,3.30E+05,5.07E+04,5.67E+03,1.98E+04,1.37E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,1.12E+03,8.05E+02,1.39E+00,1.50E+01,1.48E-05,2.15E+01,4.28E+01,3.57E+01,2.16E-01,4.38E-01,3.46E-01,2.66E+00,6.18E-01,2.91E+02,3.80E+03,1.90E+03,8.69E+02,8.24E+03,4.12E+03,1.68E+03,915
6.10E+01,-3.00E+00,-3.00E+01,3.00E+01,4.22E+06,5.18E+06,0.00E+00,1.36E+07,1.12E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,9.32E+05,8.48E+05,1.28E+05,3.31E+05,5.08E+04,5.73E+03,1.94E+04,1.36E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,1.14E+03,8.12E+02,1.40E+00,1.60E+01,1.47E-05,2.16E+01,4.09E+01,3.75E+01,2.17E-01,4.19E-01,3.64E-01,2.65E+00,6.13E-01,3.04E+02,3.64E+03,1.82E+03,8.44E+02,8.27E+03,4.14E+03,1.69E+03,916
6.20E+01,0.00E+00,-3.00E+01,3.00E+01,4.08E+06,5.04E+06,0.00E+00,9.51E+06,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,9.26E+05,8.43E+05,1.22E+05,3.35E+05,5.13E+04,6.00E+03,1.81E+04,1.39E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+01,1.16E+03,8.17E+02,1.42E+00,1.70E+01,1.47E-05,2.16E+01,3.90E+01,3.94E+01,2.19E-01,3.99E-01,3.82E-01,2.64E+00,6.16E-01,3.27E+02,3.46E+03,1.73E+03,7.91E+02,8.34E+03,4.17E+03,1.69E+03,917
6.30E+01,3.00E+00,-3.00E+01,3.00E+01,4.24E+06,5.21E+06,0.00E+00,1.41E+07,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,9.20E+05,8.38E+05,1.16E+05,3.36E+05,5.16E+04,6.16E+03,1.74E+04,1.33E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+01,1.17E+03,8.17E+02,1.43E+00,1.80E+01,1.46E-05,2.16E+01,3.72E+01,4.13E+01,2.20E-01,3.80E-01,4.00E-01,2.63E+00,6.08E-01,3.39E+02,3.31E+03,1.65E+03,7.58E+02,8.40E+03,4.20E+03,1.71E+03,918
6.40E+01,6.00E+00,-3.00E+01,3.00E+01,4.23E+06,5.20E+06,0.00E+00,1.41E+07,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,9.19E+05,8.37E+05,1.10E+05,3.37E+05,5.20E+04,6.20E+03,1.66E+04,1.35E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+01,1.18E+03,8.18E+02,1.44E+00,1.90E+01,1.46E-05,2.15E+01,3.53E+01,4.31E+01,2.21E-01,3.61E-01,4.18E-01,2.63E+00,5.98E-01,3.49E+02,3.14E+03,1.57E+03,7.28E+02,8.42E+03,4.21E+03,1.71E+03,919
6.50E+01,9.00E+00,-3.00E+01,3.00E+01,4.22E+06,5.20E+06,0.00E+00,1.41E+07,1.11E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,9.18E+05,8.36E+05,1.05E+05,3.39E+05,5.21E+04,6.37E+03,1.58E+04,1.39E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,1.19E+03,8.19E+02,1.46E+00,2.00E+01,1.46E-05,2.14E+01,3.35E+01,4.50E+01,2.21E-01,3.43E-01,4.36E-01,2.62E+00,5.93E-01,3.66E+02,2.97E+03,1.49E+03,6.92E+02,8.46E+03,4.23E+03,1.70E+03,920
6.60E+01,1.20E+01,-3.00E+01,3.00E+01,4.22E+06,5.18E+06,0.00E+00,1.41E+07,1.12E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,9.05E+05,8.26E+05,9.91E+04,3.39E+05,5.25E+04,6.48E+03,1.46E+04,1.34E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.10E+01,1.21E+03,8.19E+02,1.47E+00,2.10E+01,1.44E-05,2.13E+01,3.18E+01,4.70E+01,2.21E-01,3.25E-01,4.54E-01,2.61E+00,5.85E-01,3.81E+02,2.82E+03,1.41E+03,6.28E+02,8.44E+03,4.22E+03,1.70E+03,921
