    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,scan#,Imax,Iave,ratio,scan#,texture,scan#,peak_num,scan#, neighbor_distance,# peak_position, peak_width, peak_intensity,Fe,Nb,Ti,Fe_adjusted,Nb_adjusted,Ti_adjusted,# Ti_alpha,Ti_beta,Fe_alpha,Fe_beta
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,5.26E+06,6.11E+06,0.00E+00,0.00E+00,1.48E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,1.04E+05,9.49E+04,2.14E+04,6.12E+03,8.04E+02,3.04E+02,1.91E+04,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,4.67E+03,5.29E+02,8.84E+00,1.00E+00,1.28E-05,1.00E+00,3.00E+00,1.00E+00,1.56E-06,2.68E+00,5.16E-02,4.17E+03,0.288066844,0.356335616,0.355597541,0.065159618,0.715378268,0.219462114,3.43E+02,4.49E+01,6.04E+02,8.22E+01
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,5.26E+06,6.08E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,1.20E+05,1.08E+05,2.60E+04,7.51E+03,6.94E+02,2.61E+02,1.91E+04,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,3.52E+03,5.16E+02,6.83E+00,2.00E+00,1.20E-05,2.00E+00,3.00E+00,2.00E+00,-1.55E-07,2.69E+00,5.83E-02,3.01E+03,0.411170102,0.309861544,0.278968354,0.07890375,0.636938046,0.284158203,4.36E+02,5.71E+01,7.36E+02,1.00E+02
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,5.25E+06,6.07E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.18E+05,1.06E+05,2.54E+04,7.36E+03,7.92E+02,2.94E+02,1.92E+04,9.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,9.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,3.82E+03,5.20E+02,7.34E+00,3.00E+00,1.13E-05,3.00E+00,3.00E+00,3.00E+00,2.19E-07,2.69E+00,5.75E-02,3.32E+03,0.378470112,0.32640001,0.295129878,0.077814422,0.655105155,0.267080423,4.25E+02,5.57E+01,7.09E+02,9.65E+01
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,5.25E+06,6.06E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.15E+05,1.04E+05,2.57E+04,7.36E+03,7.83E+02,2.86E+02,1.91E+04,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,4.11E+03,5.25E+02,7.84E+00,4.00E+00,1.07E-05,4.00E+00,3.00E+00,4.00E+00,7.30E-07,2.69E+00,5.66E-02,3.63E+03,0.346998067,0.342287142,0.310714791,0.076608157,0.672804341,0.250587502,4.02E+02,5.27E+01,7.25E+02,9.86E+01
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,5.28E+06,6.09E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.15E+05,1.04E+05,2.55E+04,7.20E+03,8.16E+02,2.99E+02,1.94E+04,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,4.48E+03,5.34E+02,8.39E+00,5.00E+00,1.04E-05,5.00E+00,3.00E+00,5.00E+00,-1.55E-07,2.69E+00,5.56E-02,3.97E+03,0.316964698,0.357438834,0.325596468,0.075296087,0.68999677,0.234707144,3.78E+02,4.96E+01,7.49E+02,1.02E+02
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,5.28E+06,6.14E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,1.14E+05,1.03E+05,2.53E+04,7.35E+03,8.51E+02,2.88E+02,1.96E+04,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,4.85E+03,5.44E+02,8.91E+00,6.00E+00,1.04E-05,6.00E+00,3.00E+00,6.00E+00,4.67E-03,2.69E+00,5.47E-02,4.33E+03,0.288534504,0.371794759,0.339670737,0.073886984,0.706647968,0.219465048,3.60E+02,4.71E+01,7.20E+02,9.79E+01
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,5.28E+06,6.12E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.12E+05,1.01E+05,2.51E+04,7.13E+03,8.51E+02,3.10E+02,1.98E+04,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,5.12E+03,5.47E+02,9.38E+00,7.00E+00,1.06E-05,7.00E+00,3.00E+00,7.00E+00,-5.55E-07,2.68E+00,5.37E-02,4.63E+03,0.261824116,0.38532595,0.352849934,0.072390916,0.722728234,0.20488085,3.43E+02,4.50E+01,7.28E+02,9.90E+01
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,5.27E+06,6.11E+06,0.00E+00,0.00E+00,1.48E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.09E+05,9.94E+04,2.48E+04,7.05E+03,8.77E+02,3.49E+02,1.98E+04,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,5.42E+03,5.51E+02,9.84E+00,8.00E+00,1.12E-05,8.00E+00,3.00E+00,8.00E+00,-2.41E-07,2.68E+00,5.28E-02,4.93E+03,0.236903281,0.398028629,0.36506809,0.070817929,0.73821331,0.190968761,3.26E+02,4.27E+01,6.97E+02,9.48E+01
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,5.27E+06,6.10E+06,0.00E+00,0.00E+00,1.48E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.07E+05,9.74E+04,2.39E+04,6.92E+03,9.72E+02,3.29E+02,2.01E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,5.73E+03,5.54E+02,1.03E+01,9.00E+00,1.19E-05,9.00E+00,3.00E+00,9.00E+00,5.23E-08,2.68E+00,5.19E-02,5.23E+03,0.213801139,0.409920062,0.3762788,0.069175548,0.753089041,0.177735411,3.06E+02,4.01E+01,6.63E+02,9.02E+01
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,5.26E+06,6.08E+06,0.00E+00,0.00E+00,1.48E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,1.06E+05,9.62E+04,2.40E+04,6.94E+03,8.53E+02,3.36E+02,2.04E+04,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,6.01E+03,5.58E+02,1.08E+01,1.00E+01,1.29E-05,1.00E+01,3.00E+00,1.00E+01,-6.30E-07,2.68E+00,5.12E-02,5.52E+03,0.192510275,0.421040006,0.38644972,0.067474318,0.767342699,0.165182982,2.77E+02,3.63E+01,6.78E+02,9.22E+01
