    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,scan#,Imax,Iave,ratio,scan#,texture,scan#,peak_num,scan#, neighbor_distance,# peak_position, peak_width, peak_intensity,Fe,Nb,Ti,Fe_adjusted,Nb_adjusted,Ti_adjusted,# Ti_alpha,Ti_beta,Fe_alpha,Fe_beta
5.60E+01,-1.80E+01,-3.00E+01,3.00E+01,5.27E+06,6.20E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.52E+05,2.01E+05,2.01E+04,5.46E+03,4.85E+02,2.99E+02,1.42E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,2.38E+03,5.30E+02,4.49E+00,1.10E+01,3.53E-06,1.10E+01,4.00E+00,1.10E+01,4.58E-08,2.71E+00,6.16E-02,1.83E+03,0.352063564,0.102609458,0.545326978,0.070572402,0.176140376,0.753287222,1.28E+03,1.68E+02,5.78E+02,7.86E+01
5.70E+01,-1.50E+01,-3.00E+01,3.00E+01,5.26E+06,6.19E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.49E+05,2.00E+05,2.00E+04,5.49E+03,4.69E+02,3.03E+02,1.44E+04,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,7.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,2.44E+03,5.29E+02,4.60E+00,1.20E+01,4.47E-06,1.20E+01,4.00E+00,1.20E+01,3.13E-08,2.71E+00,5.88E-02,1.90E+03,0.320806369,0.106999099,0.572194532,0.071411223,0.189381522,0.739207255,1.24E+03,1.63E+02,5.59E+02,7.60E+01
5.80E+01,-1.20E+01,-3.00E+01,3.00E+01,5.26E+06,6.17E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.45E+05,1.97E+05,2.02E+04,5.40E+03,4.72E+02,2.64E+02,1.45E+04,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,2.47E+03,5.29E+02,4.67E+00,1.30E+01,5.70E-06,1.30E+01,4.00E+00,1.30E+01,7.68E-04,2.71E+00,5.66E-02,1.93E+03,0.29119941,0.111094419,0.597706171,0.072140838,0.203366626,0.724492536,1.19E+03,1.56E+02,5.68E+02,7.73E+01
5.90E+01,-9.00E+00,-3.00E+01,3.00E+01,5.30E+06,6.23E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.42E+05,1.95E+05,2.08E+04,5.63E+03,5.34E+02,3.35E+02,1.44E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,2.48E+03,5.33E+02,4.66E+00,1.40E+01,5.76E-06,1.40E+01,4.00E+00,1.40E+01,8.68E-04,2.71E+00,5.57E-02,1.94E+03,0.263385982,0.114882307,0.62173171,0.072757739,0.218110161,0.709132099,1.14E+03,1.50E+02,5.96E+02,8.11E+01
6.00E+01,-6.00E+00,-3.00E+01,3.00E+01,5.29E+06,6.21E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.53E+01,2.37E+05,1.92E+05,2.04E+04,5.76E+03,5.08E+02,2.72E+02,1.47E+04,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,2.44E+03,5.31E+02,4.60E+00,1.50E+01,5.39E-06,1.50E+01,4.00E+00,1.50E+01,8.08E-04,2.71E+00,5.62E-02,1.89E+03,0.237458868,0.118360944,0.644180188,0.073256817,0.233617808,0.693125375,1.10E+03,1.44E+02,5.88E+02,8.00E+01
6.10E+01,-3.00E+00,-3.00E+01,3.00E+01,5.29E+06,6.21E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.32E+05,1.88E+05,2.07E+04,5.83E+03,4.94E+02,2.59E+02,1.50E+04,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,2.43E+03,5.31E+02,4.59E+00,1.60E+01,5.31E-06,1.60E+01,4.00E+00,1.60E+01,7.43E-04,2.71E+00,5.71E-02,1.89E+03,0.2134616,0.121536303,0.665002097,0.073634158,0.249890875,0.676474966,1.08E+03,1.42E+02,5.77E+02,7.85E+01
6.20E+01,0.00E+00,-3.00E+01,3.00E+01,5.28E+06,6.19E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.30E+05,1.88E+05,2.08E+04,5.70E+03,5.21E+02,2.92E+02,1.48E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+01,2.44E+03,5.30E+02,4.59E+00,1.70E+01,5.41E-06,1.70E+01,4.00E+00,1.70E+01,7.26E-04,2.71E+00,5.79E-02,1.89E+03,0.191394712,0.124420504,0.684184784,0.073885582,0.266922696,0.659191721,1.01E+03,1.32E+02,5.83E+02,7.94E+01
6.30E+01,3.00E+00,-3.00E+01,3.00E+01,5.28E+06,6.18E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.25E+05,1.83E+05,2.08E+04,5.66E+03,6.14E+02,3.18E+02,1.52E+04,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+01,2.43E+03,5.30E+02,4.59E+00,1.80E+01,5.49E-06,1.80E+01,4.00E+00,1.80E+01,7.29E-04,2.71E+00,5.85E-02,1.89E+03,0.171221709,0.127032802,0.701745489,0.074004691,0.284697477,0.641297831,9.84E+02,1.29E+02,6.05E+02,8.23E+01
6.40E+01,6.00E+00,-3.00E+01,3.00E+01,5.27E+06,6.16E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.20E+05,1.81E+05,2.08E+04,5.84E+03,5.38E+02,2.86E+02,1.50E+04,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+01,2.43E+03,5.29E+02,4.60E+00,1.90E+01,5.68E-06,1.90E+01,4.00E+00,1.90E+01,7.75E-04,2.71E+00,5.89E-02,1.89E+03,0.152877684,0.129396586,0.71772573,0.073988446,0.303192153,0.6228194,9.03E+02,1.18E+02,5.97E+02,8.12E+01
6.50E+01,9.00E+00,-3.00E+01,3.00E+01,5.26E+06,6.15E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.16E+05,1.78E+05,2.06E+04,5.82E+03,5.65E+02,3.11E+02,1.52E+04,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,6.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,2.43E+03,5.28E+02,4.61E+00,2.00E+01,5.88E-06,2.00E+01,4.00E+00,2.00E+01,7.76E-04,2.71E+00,5.93E-02,1.89E+03,0.136275464,0.131539574,0.732184962,0.073833136,0.322372453,0.603794411,8.72E+02,1.14E+02,5.95E+02,8.10E+01
