    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,scan#,Imax,Iave,ratio,scan#,texture,scan#,peak_num,scan#, neighbor_distance,# peak_position, peak_width, peak_intensity,Fe,Nb,Ti,Fe_adjusted,Nb_adjusted,Ti_adjusted,# Ti_alpha,Ti_beta,Fe_alpha,Fe_beta
5.60E+01,-1.80E+01,-3.00E+01,3.00E+01,5.24E+06,6.15E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.66E+05,2.09E+05,4.47E+04,1.25E+04,6.87E+02,2.78E+02,1.59E+04,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,8.10E+02,5.33E+02,1.52E+00,1.10E+01,5.64E-06,1.10E+01,2.00E+00,1.10E+01,-2.31E-07,2.75E+00,3.57E-01,1.92E+02,0.707244737,0.097876644,0.194878618,0.213251691,0.349657865,0.437090444,4.48E+02,5.88E+01,1.28E+03,1.74E+02
5.70E+01,-1.50E+01,-3.00E+01,3.00E+01,5.27E+06,6.20E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.69E+05,2.11E+05,4.52E+04,1.28E+04,7.13E+02,2.96E+02,1.63E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,8.16E+02,5.40E+02,1.51E+00,1.20E+01,5.56E-06,1.20E+01,2.00E+00,1.20E+01,1.91E-07,2.74E+00,3.56E-01,2.02E+02,0.677177875,0.107601488,0.215220637,0.216055685,0.365456313,0.418488002,4.31E+02,5.65E+01,1.27E+03,1.73E+02
5.80E+01,-1.20E+01,-3.00E+01,3.00E+01,5.28E+06,6.22E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,2.69E+05,2.11E+05,4.55E+04,1.28E+04,7.58E+02,3.02E+02,1.62E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,8.19E+02,5.42E+02,1.51E+00,1.30E+01,5.59E-06,1.30E+01,2.00E+00,1.30E+01,2.02E-05,2.74E+00,3.57E-01,2.07E+02,0.645755549,0.117735683,0.236508768,0.21854113,0.381432205,0.400026665,4.02E+02,5.26E+01,1.28E+03,1.74E+02
5.90E+01,-9.00E+00,-3.00E+01,3.00E+01,5.27E+06,6.22E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.65E+05,2.08E+05,4.61E+04,1.27E+04,7.30E+02,2.92E+02,1.67E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,8.18E+02,5.42E+02,1.51E+00,1.40E+01,5.52E-06,1.40E+01,2.00E+00,1.40E+01,2.51E-05,2.74E+00,3.57E-01,2.13E+02,0.613218652,0.128204447,0.258576901,0.220696323,0.397547062,0.381756615,3.85E+02,5.04E+01,1.30E+03,1.76E+02
6.00E+01,-6.00E+00,-3.00E+01,3.00E+01,5.27E+06,6.21E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.54E+01,2.61E+05,2.06E+05,4.64E+04,1.28E+04,7.27E+02,2.76E+02,1.65E+04,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,8.15E+02,5.44E+02,1.50E+00,1.50E+01,5.47E-06,1.50E+01,3.00E+00,1.50E+01,2.91E-05,2.74E+00,3.58E-01,2.24E+02,0.579846017,0.138925705,0.281228277,0.22251238,0.4137587,0.36372892,3.59E+02,4.70E+01,1.31E+03,1.79E+02
6.10E+01,-3.00E+00,-3.00E+01,3.00E+01,5.26E+06,6.19E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,2.64E+05,2.08E+05,4.66E+04,1.28E+04,7.33E+02,3.09E+02,1.65E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,8.15E+02,5.44E+02,1.50E+00,1.60E+01,5.45E-06,1.60E+01,3.00E+00,1.60E+01,2.96E-05,2.74E+00,3.59E-01,2.31E+02,0.545943981,0.149811341,0.304244678,0.223981728,0.430025795,0.345992477,3.48E+02,4.56E+01,1.36E+03,1.85E+02
6.20E+01,0.00E+00,-3.00E+01,3.00E+01,5.25E+06,6.19E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,2.61E+05,2.06E+05,4.66E+04,1.29E+04,7.27E+02,3.13E+02,1.67E+04,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+01,8.20E+02,5.43E+02,1.51E+00,1.70E+01,5.40E-06,1.70E+01,2.00E+00,1.70E+01,3.13E-05,2.74E+00,3.58E-01,2.39E+02,0.511835966,0.160770125,0.32739391,0.225096774,0.446306752,0.328596474,3.30E+02,4.32E+01,1.35E+03,1.84E+02
6.30E+01,3.00E+00,-3.00E+01,3.00E+01,5.25E+06,6.17E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.52E+01,2.58E+05,2.04E+05,4.64E+04,1.31E+04,7.77E+02,3.35E+02,1.67E+04,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+01,8.31E+02,5.44E+02,1.53E+00,1.80E+01,5.40E-06,1.80E+01,3.00E+00,1.80E+01,3.37E-05,2.74E+00,3.58E-01,2.47E+02,0.477848155,0.171714471,0.350437374,0.225850989,0.46256183,0.311587181,3.06E+02,4.00E+01,1.35E+03,1.83E+02
6.40E+01,6.00E+00,-3.00E+01,3.00E+01,5.24E+06,6.16E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.58E+05,2.04E+05,4.67E+04,1.31E+04,7.53E+02,3.26E+02,1.67E+04,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+01,8.40E+02,5.44E+02,1.54E+00,1.90E+01,5.36E-06,1.90E+01,2.00E+00,1.90E+01,3.70E-05,2.73E+00,3.58E-01,2.56E+02,0.444299409,0.182562066,0.373138525,0.226245574,0.478751577,0.295002849,2.88E+02,3.77E+01,1.36E+03,1.85E+02
6.50E+01,9.00E+00,-3.00E+01,3.00E+01,5.26E+06,6.19E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.58E+05,2.04E+05,4.73E+04,1.31E+04,7.53E+02,3.07E+02,1.71E+04,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,8.56E+02,5.48E+02,1.56E+00,2.00E+01,5.31E-06,2.00E+01,2.00E+00,2.00E+01,3.96E-05,2.73E+00,3.58E-01,2.68E+02,0.411488011,0.193241364,0.395270625,0.226275795,0.494842928,0.278881277,2.74E+02,3.59E+01,1.33E+03,1.81E+02
6.60E+01,1.20E+01,-3.00E+01,3.00E+01,5.28E+06,6.23E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.48E+01,2.58E+05,2.04E+05,4.71E+04,1.30E+04,7.64E+02,3.03E+02,1.70E+04,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.10E+01,8.69E+02,5.52E+02,1.58E+00,2.10E+01,5.29E-06,2.10E+01,3.00E+00,2.10E+01,4.82E-05,2.73E+00,3.57E-01,2.77E+02,0.379681227,0.203693266,0.416625507,0.225942699,0.510803443,0.263253859,2.58E+02,3.38E+01,1.36E+03,1.85E+02
6.70E+01,1.50E+01,-3.00E+01,3.00E+01,5.27E+06,6.21E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.49E+01,2.57E+05,2.03E+05,4.65E+04,1.31E+04,7.84E+02,3.40E+02,1.71E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.20E+01,8.82E+02,5.52E+02,1.60E+00,2.20E+01,5.26E-06,2.20E+01,3.00E+00,2.20E+01,-1.72E-07,2.73E+00,3.54E-01,2.88E+02,0.349108885,0.213869422,0.437021693,0.225250079,0.526605309,0.248144612,2.45E+02,3.21E+01,1.34E+03,1.82E+02
6.80E+01,1.80E+01,-3.00E+01,3.00E+01,5.27E+06,6.20E+06,0.00E+00,0.00E+00,1.49E+07,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.53E+05,2.01E+05,4.67E+04,1.32E+04,8.73E+02,3.13E+02,1.72E+04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+01,8.96E+02,5.52E+02,1.62E+00,2.30E+01,5.26E-06,2.30E+01,4.00E+00,2.30E+01,4.02E-07,2.73E+00,3.49E-01,2.98E+02,0.319955893,0.223743737,0.45630037,0.224200439,0.542224939,0.233574622,2.31E+02,3.02E+01,1.36E+03,1.85E+02
8.00E+01,-2.10E+01,-2.70E+01,3.00E+01,5.26E+06,6.19E+06,0.00E+00,0.00E+00,1.50E+07,0.00E+00,0.00E+00,0.00E+00,3.54E+01,2.70E+05,2.11E+05,4.71E+04,1.30E+04,7.05E+02,3.08E+02,1.59E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+01,8.17E+02,5.35E+02,1.53E+00,2.40E+01,5.68E-06,2.40E+01,2.00E+00,2.40E+01,6.29E-07,2.75E+00,3.63E-01,1.73E+02,0.738911374,0.092377719,0.168710906,0.232165581,0.321594756,0.446239663,4.37E+02,5.73E+01,1.37E+03,1.86E+02
