# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted, Zr_adjusted,peak_position,peak_width,peak_intensity,V_alpha1,V_alpha2,V_beta,Co_alpha1,Co_alpha2,Co_beta,Citrine_ID
5.70E+01,-1.50E+01,-3.00E+01,3.00E+01,3.61E+06,4.31E+06,0.00E+00,1.42E+07,1.09E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.20E+05,5.83E+05,2.58E+05,1.54E+05,2.41E+04,3.40E+03,3.68E+04,3.24E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,8.78E+02,5.92E+02,1.48E+00,1.20E+01,1.57E-05,7.65E+00,7.37E+01,1.87E+01,8.31E-02,7.54E-01,1.63E-01,2.74E+00,5.02E-01,1.90E+02,7.28E+03,3.64E+03,1.62E+03,3.81E+03,1.90E+03,7.72E+02,2216
5.80E+01,-1.20E+01,-3.00E+01,3.00E+01,3.63E+06,4.35E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.20E+05,5.83E+05,2.55E+05,1.55E+05,2.47E+04,3.44E+03,3.68E+04,3.20E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,8.83E+02,5.99E+02,1.47E+00,1.30E+01,1.53E-05,7.85E+00,7.22E+01,2.00E+01,8.36E-02,7.42E-01,1.75E-01,2.73E+00,5.22E-01,1.96E+02,7.14E+03,3.57E+03,1.62E+03,3.82E+03,1.91E+03,7.81E+02,2217
5.90E+01,-9.00E+00,-3.00E+01,3.00E+01,3.62E+06,4.35E+06,0.00E+00,1.42E+07,1.09E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.12E+05,5.76E+05,2.50E+05,1.55E+05,2.43E+04,3.68E+03,3.61E+04,3.24E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,8.82E+02,6.01E+02,1.47E+00,1.40E+01,1.54E-05,8.05E+00,7.06E+01,2.13E+01,8.39E-02,7.29E-01,1.87E-01,2.71E+00,5.40E-01,2.01E+02,7.04E+03,3.52E+03,1.59E+03,3.83E+03,1.92E+03,7.64E+02,2218
6.00E+01,-6.00E+00,-3.00E+01,3.00E+01,3.62E+06,4.34E+06,0.00E+00,1.42E+07,1.09E+05,0.00E+00,0.00E+00,0.00E+00,3.55E+01,5.96E+05,5.61E+05,2.43E+05,1.53E+05,2.47E+04,3.87E+03,3.50E+04,3.24E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,8.79E+02,6.01E+02,1.46E+00,1.50E+01,1.52E-05,8.24E+00,6.90E+01,2.28E+01,8.42E-02,7.16E-01,2.00E-01,2.69E+00,5.53E-01,2.05E+02,6.83E+03,3.42E+03,1.54E+03,3.78E+03,1.89E+03,7.74E+02,2219
6.10E+01,-3.00E+00,-3.00E+01,3.00E+01,3.61E+06,4.33E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.97E+05,5.62E+05,2.37E+05,1.55E+05,2.50E+04,3.94E+03,3.40E+04,3.25E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,8.78E+02,6.02E+02,1.46E+00,1.60E+01,1.48E-05,8.42E+00,6.73E+01,2.43E+01,8.43E-02,7.03E-01,2.13E-01,2.67E+00,5.71E-01,2.12E+02,6.67E+03,3.33E+03,1.49E+03,3.82E+03,1.91E+03,7.79E+02,2220
6.20E+01,0.00E+00,-3.00E+01,3.00E+01,3.60E+06,4.32E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.84E+05,5.51E+05,2.29E+05,1.52E+05,2.45E+04,4.18E+03,3.32E+04,3.23E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+01,8.74E+02,6.01E+02,1.45E+00,1.70E+01,1.49E-05,8.59E+00,6.56E+01,2.58E+01,8.44E-02,6.88E-01,2.27E-01,2.66E+00,5.79E-01,2.19E+02,6.47E+03,3.23E+03,1.47E+03,3.76E+03,1.88E+03,7.70E+02,2221
6.30E+01,3.00E+00,-3.00E+01,3.00E+01,3.60E+06,4.30E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,5.76E+05,5.44E+05,2.22E+05,1.50E+05,2.41E+04,4.27E+03,3.23E+04,3.33E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+01,8.67E+02,5.99E+02,1.45E+00,1.80E+01,1.49E-05,8.75E+00,6.38E+01,2.74E+01,8.43E-02,6.74E-01,2.42E-01,2.64E+00,5.88E-01,2.27E+02,6.29E+03,3.14E+03,1.41E+03,3.70E+03,1.85E+03,7.48E+02,2222
6.40E+01,6.00E+00,-3.00E+01,3.00E+01,3.59E+06,4.31E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,5.69E+05,5.38E+05,2.16E+05,1.49E+05,2.41E+04,4.46E+03,3.15E+04,3.22E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+01,8.75E+02,6.03E+02,1.45E+00,1.90E+01,1.46E-05,8.90E+00,6.20E+01,2.91E+01,8.42E-02,6.58E-01,2.58E-01,2.62E+00,5.88E-01,2.35E+02,6.07E+03,3.04E+03,1.41E+03,3.65E+03,1.83E+03,7.36E+02,2223
6.50E+01,9.00E+00,-3.00E+01,3.00E+01,3.59E+06,4.32E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,5.61E+05,5.30E+05,2.09E+05,1.49E+05,2.40E+04,4.69E+03,3.02E+04,3.41E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,8.81E+02,6.04E+02,1.46E+00,2.00E+01,1.47E-05,9.03E+00,6.02E+01,3.08E+01,8.39E-02,6.42E-01,2.74E-01,2.61E+00,5.94E-01,2.47E+02,5.88E+03,2.94E+03,1.34E+03,3.67E+03,1.83E+03,7.36E+02,2224
6.60E+01,1.20E+01,-3.00E+01,3.00E+01,3.62E+06,4.35E+06,0.00E+00,1.42E+07,1.08E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.56E+05,5.26E+05,2.03E+05,1.47E+05,2.46E+04,4.79E+03,2.95E+04,3.55E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.10E+01,8.98E+02,6.10E+02,1.47E+00,2.10E+01,1.45E-05,9.16E+00,5.83E+01,3.26E+01,8.35E-02,6.26E-01,2.91E-01,2.60E+00,5.91E-01,2.59E+02,5.71E+03,2.86E+03,1.30E+03,3.66E+03,1.83E+03,7.41E+02,2225
