# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted,Zr_adjusted,peak_position,peak_width,peak_intensity,V_alpha1,V_alpha2,V_beta,Co_alpha1,Co_alpha2,Co_beta
5.60E+01,-1.80E+01,-3.00E+01,3.00E+01,4.18E+06,4.74E+06,0.00E+00,1.41E+07,1.18E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,7.00E+05,6.51E+05,1.61E+05,1.52E+05,2.71E+04,9.03E+03,2.30E+04,1.43E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+01,1.34E+03,7.58E+02,1.76E+00,1.10E+01,1.03E-05,9.74E+00,3.96E+01,5.06E+01,0.090075613,0.361779999,0.548144388,2.55E+00,4.90E-01,5.74E+02,4.54E+03,2.27E+03,1.01E+03,3.75E+03,1.87E+03,7.51E+02
5.70E+01,-1.50E+01,-3.00E+01,3.00E+01,4.18E+06,4.68E+06,0.00E+00,1.47E+07,1.18E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,6.90E+05,6.42E+05,1.52E+05,1.53E+05,2.78E+04,9.35E+03,2.21E+04,1.42E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+01,1.36E+03,7.55E+02,1.81E+00,1.20E+01,1.02E-05,9.67E+00,3.78E+01,5.26E+01,0.092413738,0.343612826,0.563973436,2.54E+00,4.79E-01,6.10E+02,4.27E+03,2.13E+03,9.81E+02,3.77E+03,1.88E+03,7.66E+02
5.80E+01,-1.20E+01,-3.00E+01,3.00E+01,4.17E+06,4.67E+06,0.00E+00,1.42E+07,1.18E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.82E+05,6.36E+05,1.44E+05,1.56E+05,2.82E+04,9.52E+03,2.10E+04,1.43E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E+01,1.41E+03,7.59E+02,1.85E+00,1.30E+01,1.01E-05,9.59E+00,3.59E+01,5.45E+01,0.094693163,0.325909024,0.579397813,2.54E+00,4.65E-01,6.45E+02,4.05E+03,2.03E+03,9.31E+02,3.83E+03,1.92E+03,7.74E+02
5.90E+01,-9.00E+00,-3.00E+01,3.00E+01,4.17E+06,4.73E+06,0.00E+00,1.42E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.88E+05,6.41E+05,1.38E+05,1.61E+05,2.90E+04,9.96E+03,2.05E+04,1.46E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+01,1.47E+03,7.72E+02,1.90E+00,1.40E+01,1.00E-05,9.49E+00,3.41E+01,5.64E+01,0.096913269,0.308688622,0.594398109,2.53E+00,4.55E-01,6.98E+02,3.89E+03,1.95E+03,9.16E+02,3.96E+03,1.98E+03,7.92E+02
6.00E+01,-6.00E+00,-3.00E+01,3.00E+01,4.17E+06,4.72E+06,0.00E+00,1.43E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,6.87E+05,6.40E+05,1.31E+05,1.63E+05,2.97E+04,1.02E+04,1.95E+04,1.45E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,1.51E+03,7.76E+02,1.94E+00,1.50E+01,9.95E-06,9.37E+00,3.24E+01,5.83E+01,0.099059965,0.292051692,0.608888343,2.53E+00,4.43E-01,7.38E+02,3.71E+03,1.86E+03,8.63E+02,4.01E+03,2.00E+03,8.11E+02
6.10E+01,-3.00E+00,-3.00E+01,3.00E+01,4.16E+06,4.72E+06,0.00E+00,1.41E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.82E+05,6.34E+05,1.24E+05,1.66E+05,3.04E+04,1.05E+04,1.85E+04,1.46E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,1.55E+03,7.80E+02,1.99E+00,1.60E+01,9.89E-06,9.24E+00,3.06E+01,6.01E+01,0.101136952,0.275978585,0.622884463,2.53E+00,4.32E-01,7.83E+02,3.50E+03,1.75E+03,8.08E+02,4.08E+03,2.04E+03,8.32E+02
6.20E+01,0.00E+00,-3.00E+01,3.00E+01,4.19E+06,4.74E+06,0.00E+00,1.41E+07,1.20E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,6.79E+05,6.33E+05,1.17E+05,1.70E+05,3.11E+04,1.08E+04,1.75E+04,1.44E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E+01,1.60E+03,7.84E+02,2.04E+00,1.70E+01,9.93E-06,9.10E+00,2.89E+01,6.20E+01,0.103133298,0.260549734,0.636316967,2.52E+00,4.21E-01,8.24E+02,3.30E+03,1.65E+03,7.64E+02,4.15E+03,2.08E+03,8.51E+02
6.30E+01,3.00E+00,-3.00E+01,3.00E+01,4.19E+06,4.74E+06,0.00E+00,1.48E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.73E+05,6.27E+05,1.11E+05,1.72E+05,3.13E+04,1.08E+04,1.62E+04,1.42E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E+01,1.64E+03,7.88E+02,2.08E+00,1.80E+01,9.60E-06,8.94E+00,2.73E+01,6.37E+01,0.105049412,0.245757957,0.649192631,2.52E+00,4.10E-01,8.69E+02,3.13E+03,1.57E+03,7.16E+02,4.23E+03,2.12E+03,8.52E+02
6.40E+01,6.00E+00,-3.00E+01,3.00E+01,4.17E+06,4.72E+06,0.00E+00,1.41E+07,1.19E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,6.68E+05,6.23E+05,1.04E+05,1.72E+05,3.16E+04,1.13E+04,1.56E+04,1.44E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+01,1.68E+03,7.88E+02,2.13E+00,1.90E+01,9.66E-06,8.78E+00,2.57E+01,6.55E+01,0.106885601,0.231593406,0.661520993,2.51E+00,4.00E-01,9.06E+02,2.96E+03,1.48E+03,6.87E+02,4.24E+03,2.12E+03,8.64E+02
6.50E+01,9.00E+00,-3.00E+01,3.00E+01,4.17E+06,4.67E+06,0.00E+00,1.39E+07,1.20E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,6.59E+05,6.15E+05,9.72E+04,1.75E+05,3.22E+04,1.13E+04,1.46E+04,1.40E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,1.71E+03,7.86E+02,2.17E+00,2.00E+01,9.50E-06,8.60E+00,2.42E+01,6.72E+01,0.108634936,0.218109006,0.673256058,2.51E+00,3.88E-01,9.37E+02,2.74E+03,1.37E+03,6.36E+02,4.30E+03,2.15E+03,8.74E+02
