# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
12,0,-35.9999,30,3875568,4624068,0,13916321,118241,0,0,0,35.092301,160320,156360,8269,7261,1622,1332,169,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+00,8.57E+02,4.64E+02,1.85E+00,1.00E+00,1.47E-05,6.456498517,10.58908033,82.95442115,,,,2.85E+02,3.87E+01,2.37E+02,3.24E+01,3.40E+00,1.00E+00,2.66E+01
33,-12.002,-32.9998,30,3870849,4611472,0,13741059,117681,0,0,0,34.977955,460950,438330,152710,118736,19122,7646,932,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+00,1.12E+03,6.47E+02,1.74E+00,2.00E+00,1.70E-05,8.039616764,16.18701779,75.77336544,,,,5.49E+03,7.47E+02,3.43E+03,4.70E+02,2.51E+00,4.29E-01,4.51E+02
34,-8.999,-32.9998,30,3870639,4606707,0,14227186,117057,0,0,0,34.955547,453810,431760,144432,117470,19127,8056,948,4115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E+00,1.18E+03,6.51E+02,1.82E+00,3.00E+00,1.66E-05,7.830638905,14.81444929,77.3549118,,,,5.21E+03,7.09E+02,3.41E+03,4.68E+02,2.51E+00,4.03E-01,5.02E+02
35,-6.001,-32.9998,30,3888082,4617678,0,14081352,116860,0,0,0,35.18089,429840,409920,129052,110303,19140,8207,931,4176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E+00,1.25E+03,6.51E+02,1.92E+00,4.00E+00,1.80E-05,7.612656739,13.54849076,78.8388525,,,,4.64E+03,6.32E+02,3.31E+03,4.53E+02,2.50E+00,3.63E-01,5.54E+02
36,-2.99801,-32.9998,30,3901199,4642356,0,14298108,116769,0,0,0,34.888798,435510,414960,125701,113210,19502,9047,965,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+00,1.42E+03,6.63E+02,2.15E+00,5.00E+00,1.86E-05,7.3871494,12.38016541,80.23268519,,,,4.52E+03,6.15E+02,3.41E+03,4.68E+02,2.50E+00,2.98E-01,7.05E+02
37,0,-32.9998,30,3891256,4639458,0,14029149,117089,0,0,0,34.981671,426480,406680,118220,111167,19632,9419,888,4177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E+00,1.64E+03,6.70E+02,2.45E+00,6.00E+00,1.88E-05,7.156873086,11.30803966,81.53508725,,,,4.23E+03,5.76E+02,3.40E+03,4.65E+02,2.50E+00,2.28E-01,9.10E+02
38,2.99801,-32.9998,30,3620306,4342446,0,8619,116701,0,0,0,34.890364,420180,400800,110067,109002,19783,9728,883,4408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E+00,1.92E+03,6.74E+02,2.85E+00,7.00E+00,1.83E-05,6.923333595,10.32456617,82.75210023,,,,3.94E+03,5.35E+02,3.41E+03,4.67E+02,2.50E+00,1.84E-01,1.15E+03
39,6.001,-32.9998,30,3895628,4626114,0,14314369,116916,0,0,0,34.90335,410280,391620,101497,105220,19939,9873,859,4562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E+00,2.30E+03,6.76E+02,3.41E+00,8.00E+00,1.73E-05,6.687746282,9.422641166,83.88961255,,,,3.62E+03,4.92E+02,3.38E+03,4.63E+02,2.50E+00,1.44E-01,1.50E+03
40,8.999,-32.9998,30,3877137,4610983,0,13736429,116886,0,0,0,35.114893,404760,386580,94935,103337,19394,10071,837,4622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00E+00,2.84E+03,6.82E+02,4.16E+00,9.00E+00,1.75E-05,6.45233147,8.599628863,84.94803967,,,,3.36E+03,4.57E+02,3.30E+03,4.52E+02,2.50E+00,1.10E-01,2.03E+03
41,12.002,-32.9998,30,3873076,4606438,0,14091929,117838,0,0,0,34.88486,400620,382650,87731,99637,19687,10359,812,4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+01,3.52E+03,6.86E+02,5.14E+00,1.00E+01,2.08E-05,6.217570426,7.847084759,85.93534481,,,,3.10E+03,4.21E+02,3.26E+03,4.47E+02,2.50E+00,8.85E-02,2.75E+03
