# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
59,-8.999,-30.0003,30,3998816,4966350,0,13306713,102883,0,0,0,35.055809,1050240,948990,604571,247520,25109,3874,2063,3316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E+01,1.15E+03,8.03E+02,1.43E+00,1.40E+01,1.35E-05,11.19475997,59.11078648,29.69445355,,,,2.23E+04,3.03E+03,5.05E+03,6.91E+02,2.89E+00,6.57E-01,2.28E+02
60,-6.001,-30.0003,30,3996694,4957549,0,13229951,103318,0,0,0,35.110643,1001190,908910,564790,241749,24623,3974,1990,3467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50E+01,1.14E+03,7.92E+02,1.44E+00,1.50E+01,1.36E-05,11.46528912,56.83224164,31.70246924,,,,2.08E+04,2.83E+03,4.98E+03,6.82E+02,2.86E+00,7.44E-01,2.05E+02
61,-2.99801,-30.0003,30,3990846,4949580,0,13229203,103185,0,0,0,34.798846,960510,875370,524938,234364,24907,4081,1915,3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E+01,1.13E+03,7.80E+02,1.44E+00,1.60E+01,1.38E-05,11.70833597,54.53662851,33.75503552,,,,1.93E+04,2.63E+03,5.04E+03,6.90E+02,2.82E+00,8.25E-01,1.89E+02
62,0,-30.0003,30,3986702,4932331,0,13382295,103426,0,0,0,34.959919,908220,831150,488685,225918,24504,4229,1807,3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E+01,1.11E+03,7.69E+02,1.45E+00,1.70E+01,1.41E-05,11.92138335,52.24219866,35.83641799,,,,1.80E+04,2.45E+03,4.96E+03,6.80E+02,2.78E+00,8.60E-01,1.81E+02
63,2.99801,-30.0003,30,4011239,4958016,0,13369573,103017,0,0,0,35.116692,867390,796680,456482,220813,24885,4388,1774,3518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80E+01,1.11E+03,7.65E+02,1.45E+00,1.80E+01,1.43E-05,12.1035913,49.9557181,37.9406906,,,,1.68E+04,2.28E+03,4.98E+03,6.83E+02,2.74E+00,8.55E-01,1.79E+02
64,6.001,-30.0003,30,4027640,4992479,0,13498583,102480,0,0,0,35.025023,837750,771810,428827,214758,24717,4672,1699,3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E+01,1.11E+03,7.62E+02,1.46E+00,1.90E+01,1.46E-05,12.25405147,47.68347742,40.0624711,,,,1.57E+04,2.14E+03,5.00E+03,6.85E+02,2.71E+00,8.27E-01,1.81E+02
65,8.999,-30.0003,30,4029667,4995613,0,14161762,102732,0,0,0,34.904567,803820,742380,398259,209057,24272,4832,1679,3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+01,1.09E+03,7.53E+02,1.45E+00,2.00E+01,1.49E-05,12.37161795,45.4426244,42.18575765,,,,1.46E+04,1.98E+03,4.88E+03,6.69E+02,2.68E+00,7.98E-01,1.89E+02
66,12.002,-30.0003,30,4011688,4976762,0,13258623,103121,0,0,0,35.007007,766470,710190,371210,201827,24250,4962,1577,3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10E+01,1.09E+03,7.46E+02,1.47E+00,2.10E+01,1.59E-05,12.45658066,43.23461074,44.3088086,,,,1.36E+04,1.85E+03,4.63E+03,6.34E+02,2.65E+00,7.55E-01,1.97E+02
67,15,-30.0003,30,4001332,4973297,0,13525524,103183,0,0,0,34.979322,735600,683250,345687,195858,23806,5096,1509,3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20E+01,1.08E+03,7.38E+02,1.46E+00,2.20E+01,1.54E-05,12.50847741,41.07464912,46.41687346,,,,1.26E+04,1.72E+03,4.63E+03,6.34E+02,2.62E+00,7.14E-01,2.08E+02
68,17.998,-30.0003,30,3993096,4969452,0,13782416,103994,0,0,0,35.033022,702000,653340,320661,188419,23365,5017,1458,3618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E+01,1.06E+03,7.31E+02,1.46E+00,2.30E+01,1.56E-05,12.52804037,38.96579105,48.50616858,,,,1.18E+04,1.60E+03,4.52E+03,6.20E+02,2.60E+00,6.73E-01,2.19E+02
80,-21.001,-27.0001,30,3974024,4962898,0,13081115,102776,0,0,0,35.141225,1285080,1138650,793090,283912,25286,3115,2524,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40E+01,1.20E+03,8.53E+02,1.41E+00,2.40E+01,1.22E-05,10.35476463,68.82774412,20.81749126,,,,2.93E+04,3.98E+03,4.63E+03,6.34E+02,2.98E+00,4.90E-01,3.30E+02
81,-17.998,-27.0001,30,3965048,4942674,0,13071154,103736,0,0,0,34.932557,1237860,1101510,749125,277892,25796,3205,2366,3117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E+01,1.19E+03,8.39E+02,1.42E+00,2.50E+01,1.24E-05,10.74814353,66.75285361,22.49900285,,,,2.76E+04,3.76E+03,5.08E+03,6.96E+02,2.97E+00,5.09E-01,3.07E+02
82,-15,-27.0001,30,3986523,4953380,0,13426462,103498,0,0,0,35.241087,1177830,1053150,707332,273335,25747,3501,2241,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60E+01,1.18E+03,8.30E+02,1.42E+00,2.60E+01,1.28E-05,11.12404342,64.6255831,24.25037347,,,,2.60E+04,3.54E+03,5.25E+03,7.19E+02,2.95E+00,5.36E-01,2.87E+02
83,-12.002,-27.0001,30,4002804,4987596,0,13146664,103509,0,0,0,35.209784,1133940,1017480,667222,268532,26195,3639,2295,3202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70E+01,1.18E+03,8.25E+02,1.43E+00,2.70E+01,1.31E-05,11.48009453,62.45081272,26.06909275,,,,2.46E+04,3.34E+03,5.31E+03,7.28E+02,2.94E+00,5.68E-01,2.68E+02
84,-8.999,-27.0001,30,4001742,4987751,0,13536345,102413,0,0,0,35.049041,1086840,979290,624267,262040,26543,3807,2129,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80E+01,1.16E+03,8.13E+02,1.43E+00,2.80E+01,1.34E-05,11.81366359,60.23402759,27.95230883,,,,2.30E+04,3.13E+03,5.35E+03,7.34E+02,2.91E+00,6.18E-01,2.46E+02
85,-6.001,-27.0001,30,3994012,4977951,0,13336411,101977,0,0,0,35.323433,1028610,931350,584097,254678,26415,3895,2091,3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90E+01,1.26E+03,8.11E+02,1.55E+00,2.90E+01,3.27E-05,12.12104358,57.99218008,29.88677635,,,,2.15E+04,2.92E+03,5.37E+03,7.35E+02,3.01E+00,8.35E-01,2.46E+02
86,-2.99801,-27.0001,30,3987632,4972259,0,13417574,101927,0,0,0,35.270934,981480,892650,543702,247548,26668,4016,1972,3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E+01,1.16E+03,7.89E+02,1.47E+00,3.00E+01,1.37E-05,12.40080531,55.72794665,31.87124804,,,,2.00E+04,2.72E+03,5.37E+03,7.35E+02,2.85E+00,7.78E-01,2.00E+02
87,0,-27.0001,30,3986832,4967616,0,13745503,102566,0,0,0,35.243952,934200,852450,504943,239827,26191,4236,1816,3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E+01,1.12E+03,7.77E+02,1.45E+00,3.10E+01,1.40E-05,12.64981318,53.45897239,33.89121443,,,,1.85E+04,2.52E+03,5.39E+03,7.38E+02,2.81E+00,8.22E-01,1.86E+02
88,2.99801,-27.0001,30,3981842,4952166,0,13214208,101888,0,0,0,35.20832,889260,815190,468524,232547,26136,4165,1787,3370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E+01,1.11E+03,7.66E+02,1.45E+00,3.20E+01,1.43E-05,12.86680176,51.19176876,35.94142948,,,,1.72E+04,2.34E+03,5.34E+03,7.32E+02,2.77E+00,8.48E-01,1.78E+02
89,6.001,-27.0001,30,3988783,4942318,0,13553179,103265,0,0,0,35.119974,849000,780990,433787,224806,25777,4455,1669,3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30E+01,1.10E+03,7.56E+02,1.45E+00,3.30E+01,1.46E-05,13.05063902,48.93259015,38.01677083,,,,1.59E+04,2.17E+03,5.25E+03,7.19E+02,2.73E+00,8.49E-01,1.78E+02
