# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
58,-12.002,-30.0003,30,3688725,4451150,0,13972013,108803,0,0,0,35.054639,898950,823290,226180,467436,65496,3725,1621,2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30E+01,1.01E+03,7.04E+02,1.43E+00,1.30E+01,1.58E-05,37.50483121,25.55027637,36.94489242,,,,7.77E+03,1.06E+03,1.56E+04,2.14E+03,2.93E+00,7.32E-01,1.75E+02
59,-8.999,-30.0003,30,3687086,4450628,0,14235397,108145,0,0,0,35.056449,877950,805680,212002,462715,64760,3755,1650,2947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E+01,1.01E+03,7.00E+02,1.44E+00,1.40E+01,1.45E-05,37.47011059,23.97179144,38.55809796,,,,7.23E+03,9.83E+02,1.56E+04,2.14E+03,2.90E+00,8.12E-01,1.69E+02
60,-6.001,-30.0003,30,3675131,4435988,0,13387826,107423,0,0,0,35.175308,858780,788880,198486,457962,65363,3956,1648,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50E+01,9.96E+02,6.98E+02,1.43E+00,1.50E+01,1.45E-05,37.35822816,22.47201781,40.16975403,,,,6.75E+03,9.18E+02,1.55E+04,2.13E+03,2.86E+00,8.24E-01,1.66E+02
61,-2.99801,-30.0003,30,3721935,4487381,0,13982733,107901,0,0,0,35.069458,851520,783150,187531,458083,65019,4190,1619,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E+01,1.00E+03,7.02E+02,1.43E+00,1.60E+01,1.45E-05,37.17191422,21.04597843,41.78210735,,,,6.37E+03,8.67E+02,1.56E+04,2.13E+03,2.83E+00,8.35E-01,1.71E+02
62,0,-30.0003,30,3718953,4481524,0,14301950,107157,0,0,0,35.169801,827880,762930,174837,450463,64489,4385,1555,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E+01,1.00E+03,6.99E+02,1.43E+00,1.70E+01,1.46E-05,36.91576226,19.69762363,43.38661411,,,,5.91E+03,8.04E+02,1.54E+04,2.11E+03,2.79E+00,8.11E-01,1.76E+02
63,2.99801,-30.0003,30,3717992,4472104,0,14131002,107371,0,0,0,34.864757,816270,752820,163225,443390,63761,4436,1536,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80E+01,9.88E+02,6.94E+02,1.42E+00,1.80E+01,1.46E-05,36.59393215,18.42329105,44.9827768,,,,5.47E+03,7.44E+02,1.53E+04,2.09E+03,2.76E+00,7.93E-01,1.87E+02
64,6.001,-30.0003,30,3708933,4461640,0,14029429,107708,0,0,0,35.074659,795360,734850,153931,438025,62910,4594,1435,3217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E+01,9.84E+02,6.93E+02,1.42E+00,1.90E+01,1.46E-05,36.20979127,17.2193347,46.57087403,,,,5.13E+03,6.98E+02,1.52E+04,2.08E+03,2.74E+00,7.59E-01,1.99E+02
65,8.999,-30.0003,30,3703251,4456532,0,14332833,107633,0,0,0,35.046668,778470,720930,143676,431142,62638,4737,1504,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+01,9.76E+02,6.90E+02,1.41E+00,2.00E+01,1.45E-05,35.76904478,16.08770316,48.14325206,,,,4.76E+03,6.48E+02,1.50E+04,2.05E+03,2.71E+00,7.33E-01,2.13E+02
66,12.002,-30.0003,30,3693367,4428624,0,14053163,107115,0,0,0,35.056892,760170,704190,134777,421411,61884,4981,1452,3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10E+01,9.74E+02,6.85E+02,1.42E+00,2.10E+01,1.45E-05,35.27506408,15.02223289,49.70270303,,,,4.42E+03,6.01E+02,1.47E+04,2.01E+03,2.69E+00,7.07E-01,2.27E+02
67,15,-30.0003,30,3682758,4426452,0,14058553,107973,0,0,0,35.031908,741840,688740,125689,414883,60999,4934,1460,3276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20E+01,9.63E+02,6.83E+02,1.41E+00,2.20E+01,1.44E-05,34.73340257,14.02386045,51.24273697,,,,4.10E+03,5.58E+02,1.45E+04,1.99E+03,2.67E+00,6.81E-01,2.41E+02
