# peak_position, peak_width, peak_intensity
3.115247985869162850e+00,5.410069471452107204e-02,3.143945069453548967e+03
3.116519760072898659e+00,5.751532302088543241e-02,2.784611224568654052e+03
3.118514399170398299e+00,6.142860896504050844e-02,2.466590864102597152e+03
3.120681469615721682e+00,6.554639240728449279e-02,2.138537432877094943e+03
3.123154597004755839e+00,6.980560485586413677e-02,1.808027436831477871e+03
3.126608704409052919e+00,7.386552921541519878e-02,1.485438198062052379e+03
3.131939221217229452e+00,9.027474707596210013e-02,9.399769981036885156e+02
3.130734876097688080e+00,2.861507958704793686e-01,3.655225947136717082e+02
3.132608264189187253e+00,4.194131214896402171e-01,2.736454561479793028e+02
3.131868525482035093e+00,4.421463392783683277e-01,2.550273441448443918e+02
3.384046644070077381e+00,2.917799895593541359e-01,6.866492307364418366e+02
3.131559772657589669e+00,4.568245578102685389e-01,2.205246095832084734e+02
3.130506118954228700e+00,4.652774256577864032e-01,2.064720111163476872e+02
3.128087570796013850e+00,4.731254037068851614e-01,1.910474678391463215e+02
3.123575767282739779e+00,4.835337830608081311e-01,1.772012715261834330e+02
3.120912759983405671e+00,4.948794389965910367e-01,1.632442739638413229e+02
3.115304301885628568e+00,5.058094744503216500e-01,1.502357729715864707e+02
3.129718019795773465e+00,5.597719339570048080e-02,2.929123747407072642e+03
3.131999581994527215e+00,5.982309777268571965e-02,2.607337320617763453e+03
3.134222631134417902e+00,6.394177428324498980e-02,2.279650616812098178e+03
3.136704508675751235e+00,6.810173244943161508e-02,1.954867158225748426e+03
3.139925171420042904e+00,7.251782979381996008e-02,1.625056128458172907e+03
3.144880069054849070e+00,7.477283209924374952e-02,1.275394145089528820e+03
3.148400899701162103e+00,1.671680848295268307e-01,5.399959682618683701e+02
3.148114319227746538e+00,3.822294308776909566e-01,2.951215603192099479e+02
3.148581411309145039e+00,4.306010026509304867e-01,2.634169239662264772e+02
3.149664194451591737e+00,4.404576111858195531e-01,2.419755084956860571e+02
3.149647979439103018e+00,4.473145360207899657e-01,2.247836088731206985e+02
3.149156514654667394e+00,4.557271931043093693e-01,2.126012186270629911e+02
3.148269179390643213e+00,4.630024556058352503e-01,1.967693737316675708e+02
3.146419090415053077e+00,4.696503919983578967e-01,1.813580402156565015e+02
3.143566253345898787e+00,4.813981601183711656e-01,1.682345246260352667e+02
3.145652356680506578e+00,5.824929805688171952e-02,2.750075021725047463e+03
3.147865463823469323e+00,6.217640695247558108e-02,2.418008108458783681e+03
3.150361661168378458e+00,6.644664687721382745e-02,2.070807675173386542e+03
3.153377963499683911e+00,7.080349027730060973e-02,1.732089951615174414e+03
3.157630566452247933e+00,7.448811916394861010e-02,1.452176526979261780e+03
3.163425720102607031e+00,9.222282168824505466e-02,9.059289111892164783e+02
3.163926462826311070e+00,2.724419926247902413e-01,3.627829689968862681e+02
3.165668990666608451e+00,4.111235585125276315e-01,2.711103375605669612e+02
3.166742896003174490e+00,4.310751460577723626e-01,2.485893536727110700e+02
3.167826930487217751e+00,4.360123827802584451e-01,2.286128263626340811e+02
3.167483706857764147e+00,4.445140850422769629e-01,2.126598107775828908e+02
3.167437448234208919e+00,4.494768283103776074e-01,1.964623705476008695e+02
3.167179315337627532e+00,4.574530323511603602e-01,1.837896420029513536e+02
3.163730485432330486e+00,6.464307760286222559e-02,2.238252519478384784e+03
3.166917566310231358e+00,6.905995468339311272e-02,1.908119348671650641e+03
3.170612312758543272e+00,7.340104466254580851e-02,1.588228702051149412e+03
3.175986493915929465e+00,7.583889199919061075e-02,1.247492593406338983e+03
3.180781122288890206e+00,1.497130106514521219e-01,5.617097862819284728e+02
3.180642606395180483e+00,3.560255061873472959e-01,2.928659080621741282e+02
3.182784720351575558e+00,4.186131183110294862e-01,2.528244546004222570e+02
3.184810010172847594e+00,4.272405188385183794e-01,2.347801293604504167e+02
3.185838998100935182e+00,4.350737753262101104e-01,2.198240013479575339e+02
3.195603052109824205e+00,8.890612350963233990e-02,9.333854449613769475e+02
